"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","Domain Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P19878.2"",""P19878.2"")","1802968","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9606"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Homo sapiens"")","Human","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P19878.2"",""RecName: Full=Neutrophil cytosol factor 2; Short=NCF-2; AltName: Full=67 kDa neutrophil oxidase factor; AltName: Full=NADPH oxidase activator 2; AltName: Full=Neutrophil NADPH oxidase factor 2; AltName: Full=p67-phox"")"," SH3_p67phox_C","106.30","Y","38","65.21","100.00","Y","2021 06 17 10:40:29","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9606"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_020650770.1"",""XP_020650770.1"")","38806","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=103695&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""103695"")","Lepidosauria","Lepidosauria","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=103695&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Pogona vitticeps"")","Central bearded dragon","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_020650770.1"",""neutrophil cytosol factor 2"")"," SH3_p67phox_C","87.04","Y","38","65.21","81.88","Y","2021 06 17 10:40:29","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=103695"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032081986.1"",""XP_032081986.1"")","30930","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=35005&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""35005"")","Lepidosauria","Lepidosauria","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=35005&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Thamnophis elegans"")","Western terrestrial garter snake","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032081986.1"",""neutrophil cytosol factor 2"")"," SH3_p67phox_C","83.57","Y","38","65.21","78.62","Y","2021 06 17 10:40:29","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=35005"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_007442372.1"",""XP_007442372.1"")","32857","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=176946&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""176946"")","Lepidosauria","Lepidosauria","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=176946&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Python bivittatus"")","Burmese python","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_007442372.1"",""neutrophil cytosol factor 2-like, partial"")"," SH3_p67phox_C","83.57","Y","38","65.21","78.62","Y","2021 06 17 10:40:29","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=176946"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_008112920.1"",""XP_008112920.1"")","35701","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=28377&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""28377"")","Lepidosauria","Lepidosauria","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=28377&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Anolis carolinensis"")","Green anole","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_008112920.1"",""PREDICTED: neutrophil cytosol factor 2"")"," SH3_p67phox_C","82.42","Y","38","65.21","77.53","Y","2021 06 17 10:40:29","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=28377"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_026559051.1"",""XP_026559051.1"")","31817","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8673&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""8673"")","Lepidosauria","Lepidosauria","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8673&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Pseudonaja textilis"")","Eastern brown snake","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_026559051.1"",""neutrophil cytosol factor 2"")"," SH3_p67phox_C","80.49","Y","38","65.21","75.72","Y","2021 06 17 10:40:29","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=8673"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_023121098.1"",""XP_023121098.1"")","39307","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=80972&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""80972"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=80972&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Amphiprion ocellaris"")","Clown anemonefish","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_023121098.1"",""neutrophil cytosol factor 2-like"")"," SH3_p67phox_C","75.48","Y","38","65.21","71.01","Y","2021 06 17 10:40:29","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=80972"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/AWP20895.1"",""AWP20895.1"")","53722","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=52904&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""52904"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=52904&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Scophthalmus maximus"")","Turbot","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/AWP20895.1"",""putative neutrophil cytosol factor 2 isoform 2"")"," SH3_p67phox_C","74.71","Y","38","65.21","70.29","Y","2021 06 17 10:40:29","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=52904"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/APM83139.1"",""APM83139.1"")","1758","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=94232&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""94232"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=94232&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Epinephelus coioides"")","Orange-spotted grouper","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/APM83139.1"",""neutrophil cytosol factor 2"")"," SH3_p67phox_C","73.94","Y","38","65.21","69.56","Y","2021 06 17 10:40:29","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=94232"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_012779682.1"",""XP_012779682.1"")","46436","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=106582&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""106582"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=106582&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Maylandia zebra"")","Zebra mbuna","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_012779682.1"",""neutrophil cytosol factor 2 isoform X2"")"," SH3_p67phox_C","73.94","Y","38","65.21","69.56","Y","2021 06 17 10:40:29","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=106582"",""Explore in ECOTOX"")"
