Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,Q08289.3,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Voltage-dependent L-type calcium channel subunit beta-2; Short=CAB2; AltName: Full=Calcium channel voltage-dependent subunit beta 2; AltName: Full=Lambert-Eaton myasthenic syndrome antigen B; Short=MYSB,1363.21,Y,287,38.37,100,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_001141982.2,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1360.13,Y,287,38.37,99.77,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_024108782.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1360.13,Y,287,38.37,99.77,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_023078907.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1358.97,Y,287,38.37,99.69,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_032021745.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1358.58,Y,287,38.37,99.66,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_008000607.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1358.2,Y,287,38.37,99.63,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_033065318.1,63302,Mammalia,Mammalia,Trachypithecus francoisi,Francois's langur,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1358.2,Y,287,38.37,99.63,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_011819259.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1357.43,Y,287,38.37,99.58,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_025252743.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1355.12,Y,287,38.37,99.41,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_011911339.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1355.12,Y,287,38.37,99.41,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_017818071.1,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1355.12,Y,287,38.37,99.41,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_011824277.1,38457,Mammalia,Mammalia,Mandrillus leucophaeus,Drill,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1355.12,Y,287,38.37,99.41,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_005564803.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1353.58,Y,287,38.37,99.29,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_015002034.1,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1353.58,Y,287,38.37,99.29,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_017724699.1,49687,Mammalia,Mammalia,Rhinopithecus bieti,Black snub-nosed monkey,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1352.81,Y,287,38.37,99.24,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_030796911.1,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1352.81,Y,287,38.37,99.24,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_011750412.1,68519,Mammalia,Mammalia,Macaca nemestrina,Pig-tailed macaque,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1351.65,Y,287,38.37,99.15,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_032099824.1,62479,Mammalia,Mammalia,Sapajus apella,Tufted capuchin,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1351.27,Y,287,38.37,99.12,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_017385240.1,53173,Mammalia,Mammalia,Cebus capucinus imitator,White-faced sapajou,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1348.57,Y,287,38.37,98.93,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_002750123.1,47726,Mammalia,Mammalia,Callithrix jacchus,White-tufted-ear marmoset,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1348.18,Y,287,38.37,98.9,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_012320873.1,48088,Mammalia,Mammalia,Aotus nancymaae,Ma's night monkey,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1345.1,Y,287,38.37,98.67,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_003930699.1,36294,Mammalia,Mammalia,Saimiri boliviensis boliviensis,Bolivian squirrel monkey,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1344.72,Y,287,38.37,98.64,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_012604105.1,59986,Mammalia,Mammalia,Microcebus murinus,Gray mouse lemur,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1338.17,Y,287,38.37,98.16,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_017203068.1,48644,Mammalia,Mammalia,Oryctolagus cuniculus,Rabbit,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1334.32,Y,287,38.37,97.88,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_012516394.1,28331,Mammalia,Mammalia,Propithecus coquereli,Coquerel's sifaka,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1333.93,Y,287,38.37,97.85,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_023488092.1,67727,Mammalia,Mammalia,Equus caballus,Horse,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1325.46,Y,287,38.37,97.23,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_003786822.1,33085,Mammalia,Mammalia,Otolemur garnettii,Small-eared galago,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1322.38,Y,287,38.37,97,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_027784330.1,37707,Mammalia,Mammalia,Marmota flaviventris,Yellow-bellied marmot,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1320.84,Y,287,38.37,96.89,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_004425371.1,33628,Mammalia,Mammalia,Ceratotherium simum simum,Southern white rhinoceros,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1313.9,Y,287,38.37,96.38,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_026334767.1,43159,Mammalia,Mammalia,Ursus arctos horribilis,Brown bear,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1312.75,Y,287,38.37,96.3,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_026263512.1,36482,Mammalia,Mammalia,Urocitellus parryii,Arctic ground squirrel,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1309.28,Y,287,38.37,96.04,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_004578619.1,26023,Mammalia,Mammalia,Ochotona princeps,American pika,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1305.81,Y,287,38.37,95.79,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_022371384.1,36593,Mammalia,Mammalia,Enhydra lutris kenyoni,Sea otter,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1305.43,Y,287,38.37,95.76,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_032736762.1,48403,Mammalia,Mammalia,Lontra canadensis,Northern American river otter,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1302.73,Y,287,38.37,95.56,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_006869941.1,25292,Mammalia,Mammalia,Chrysochloris asiatica,Cape golden mole,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1260.36,Y,287,38.37,92.46,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_008822337.1,49227,Mammalia,Mammalia,Nannospalax galili,Upper Galilee mountains blind mole rat,voltage-dependent L-type calcium channel subunit beta-2 isoform X6,1244.18,Y,287,38.37,91.27,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_006093776.1,43977,Mammalia,Mammalia,Myotis lucifugus,Little brown bat,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1231.47,Y,287,38.37,90.34,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_006894367.1,25292,Mammalia,Mammalia,Elephantulus edwardii,Cape elephant shrew,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1231.47,Y,287,38.37,90.34,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_028361722.1,33129,Mammalia,Mammalia,Phyllostomus discolor,Pale spear-nosed bat,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1226.85,Y,287,38.37,90,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_031300518.1,86205,Mammalia,Mammalia,Camelus dromedarius,Arabian camel,voltage-dependent L-type calcium channel subunit beta-2 isoform X4,1223.76,Y,287,38.37,89.77,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_032329535.1,74403,Mammalia,Mammalia,Camelus ferus,Wild Bactrian camel,voltage-dependent L-type calcium channel subunit beta-2 isoform X4,1223.76,Y,287,38.37,89.77,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_024431874.1,30697,Mammalia,Mammalia,Desmodus rotundus,Common vampire bat,voltage-dependent L-type calcium channel subunit beta-2 isoform X4,1218.76,Y,287,38.37,89.4,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_025120101.1,60996,Mammalia,Mammalia,Bubalus bubalis,Water buffalo,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1210.28,Y,287,38.37,88.78,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,KAF4023231.1,19274,Mammalia,Mammalia,Cervus hanglu yarkandensis,Yarkand deer,hypothetical protein G4228_015031,1208.74,Y,287,38.37,88.67,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_010589188.1,41868,Mammalia,Mammalia,Loxodonta africana,African savanna elephant,voltage-dependent L-type calcium channel subunit beta-2,1206.43,Y,287,38.37,88.5,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_032740062.1,36141,Mammalia,Mammalia,Rattus rattus,Black rat,voltage-dependent L-type calcium channel subunit beta-2 isoform X2,1206.05,Y,287,38.37,88.47,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_005214207.1,133369,Mammalia,Mammalia,Bos taurus,Cattle,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1205.66,Y,287,38.37,88.44,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_027415615.1,54423,Mammalia,Mammalia,Bos indicus x Bos taurus,Hybrid cattle,voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1205.66,Y,287,38.37,88.44,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,XP_014396874.1,60290,Mammalia,Mammalia,Myotis brandtii,Brandt's bat,PREDICTED: voltage-dependent L-type calcium channel subunit beta-2 isoform X1,1205.28,Y,287,38.37,88.41,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
5,Q8VGC3.2,151095,Mammalia,Mammalia,Rattus norvegicus,Norway rat,RecName: Full=Voltage-dependent L-type calcium channel subunit beta-2; Short=CAB2; AltName: Full=Calcium channel voltage-dependent subunit beta 2,1204.89,Y,287,38.37,88.39,Y,2021 04 07 12:36:51,Y,Explore in ECOTOX
