"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","Domain Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/Q8NER1.2"",""Q8NER1.2"")","1802968","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9606"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Homo sapiens"")","Human","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/Q8NER1.2"",""RecName: Full=Transient receptor potential cation channel subfamily V member 1; Short=TrpV1; AltName: Full=Capsaicin receptor; AltName: Full=Osm-9-like TRP channel 1; Short=OTRPC1; AltName: Full=Vanilloid receptor 1"")"," Short_transient_receptor_potential_channel_4","1612.43","Y","16","38.60","100.00","Y","2021 06 16 14:16:17","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9606"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_033777316.1"",""XP_033777316.1"")","50058","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=260995&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""260995"")","Amphibia","Amphibia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=260995&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Geotrypetes seraphini"")","Gabon caecilian","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_033777316.1"",""transient receptor potential cation channel subfamily V member 1-like isoform X1"")"," Short_transient_receptor_potential_channel_4","812.37","Y","16","38.60","50.38","Y","2021 06 16 14:16:17","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=260995"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_006641065.1"",""XP_006641065.1"")","41861","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7918&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""7918"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7918&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Lepisosteus oculatus"")","Spotted gar","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_006641065.1"",""PREDICTED: transient receptor potential cation channel subfamily V member 1-like"")"," Short_transient_receptor_potential_channel_4","797.73","Y","16","38.60","49.47","Y","2021 06 16 14:16:17","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=7918"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_004376304.2"",""XP_004376304.2"")","37488","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=127582&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""127582"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=127582&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Trichechus manatus latirostris"")","Florida manatee","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_004376304.2"",""transient receptor potential cation channel subfamily V member 1"")"," Short_transient_receptor_potential_channel_4","797.73","Y","16","38.60","49.47","Y","2021 06 16 14:16:17","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=127582"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_028662796.1"",""XP_028662796.1"")","35767","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=27687&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""27687"")","Cladistia","Cladistia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=27687&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Erpetoichthys calabaricus"")","Reedfish","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_028662796.1"",""transient receptor potential cation channel subfamily V member 1 isoform X1"")"," Short_transient_receptor_potential_channel_4","763.84","Y","16","38.60","47.37","Y","2021 06 16 14:16:17","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=27687"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_007894726.1"",""XP_007894726.1"")","32969","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7868&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""7868"")","Chondrichthyes","Chondrichthyes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7868&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Callorhinchus milii"")","Elephant shark","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_007894726.1"",""PREDICTED: transient receptor potential cation channel subfamily V member 1"")"," Short_transient_receptor_potential_channel_4","722.62","Y","16","38.60","44.82","Y","2021 06 16 14:16:17","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=7868"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_018547617.1"",""XP_018547617.1"")","45606","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8187&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""8187"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8187&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Lates calcarifer"")","Barramundi perch","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_018547617.1"",""PREDICTED: transient receptor potential cation channel subfamily V member 1-like isoform X1"")"," Short_transient_receptor_potential_channel_4","703.36","Y","16","38.60","43.62","Y","2021 06 16 14:16:17","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=8187"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/AWP00408.1"",""AWP00408.1"")","53722","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=52904&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""52904"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=52904&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Scophthalmus maximus"")","Turbot","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/AWP00408.1"",""putative transient receptor potential cation channel subfamily V member 1-like"")"," Short_transient_receptor_potential_channel_4","688.34","Y","16","38.60","42.69","Y","2021 06 16 14:16:17","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=52904"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032432399.1"",""XP_032432399.1"")","46432","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8084&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""8084"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8084&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Xiphophorus hellerii"")","Green swordtail","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032432399.1"",""transient receptor potential cation channel subfamily V member 1-like"")"," Short_transient_receptor_potential_channel_4","685.26","Y","16","38.60","42.50","Y","2021 06 16 14:16:17","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=8084"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_027887348.1"",""XP_027887348.1"")","47114","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=32473&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""32473"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=32473&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Xiphophorus couchianus"")","Monterrey platyfish","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_027887348.1"",""transient receptor potential cation channel subfamily V member 1-like"")"," Short_transient_receptor_potential_channel_4","684.49","Y","16","38.60","42.45","Y","2021 06 16 14:16:17","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=32473"",""Explore in ECOTOX"")"
