Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,Q13698.4,1802968,Mammalia,Mammalia,Homo sapiens,Human,"RecName: Full=Voltage-dependent L-type calcium channel subunit alpha-1S; AltName: Full=Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle; AltName: Full=Voltage-gated calcium channel subunit alpha Cav1.1",3881.64,Y,128,63.37,100,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_016790956.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,voltage-dependent L-type calcium channel subunit alpha-1S isoform X1,3852.75,Y,128,63.37,99.26,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_003823089.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,voltage-dependent L-type calcium channel subunit alpha-1S,3851.6,Y,128,63.37,99.23,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_018884110.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,voltage-dependent L-type calcium channel subunit alpha-1S,3850.83,Y,128,63.37,99.21,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,PNJ50044.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,CACNA1S isoform 1,3838.5,Y,128,63.37,98.89,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_014975975.2,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,voltage-dependent L-type calcium channel subunit alpha-1S,3835.8,Y,128,63.37,98.82,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_005540428.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1S,3835.8,Y,128,63.37,98.82,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_030674542.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,voltage-dependent L-type calcium channel subunit alpha-1S,3831.95,Y,128,63.37,98.72,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_011744860.1,68519,Mammalia,Mammalia,Macaca nemestrina,Pig-tailed macaque,voltage-dependent L-type calcium channel subunit alpha-1S,3829.25,Y,128,63.37,98.65,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_003893378.2,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,voltage-dependent L-type calcium channel subunit alpha-1S isoform X1,3824.63,Y,128,63.37,98.53,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_007987187.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1S isoform X4,3821.55,Y,128,63.37,98.45,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_025243020.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,voltage-dependent L-type calcium channel subunit alpha-1S,3820.4,Y,128,63.37,98.42,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_011892286.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1S isoform X1,3820.4,Y,128,63.37,98.42,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_017752001.1,49687,Mammalia,Mammalia,Rhinopithecus bieti,Black snub-nosed monkey,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1S isoform X1,3815.77,Y,128,63.37,98.3,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_033056632.1,63302,Mammalia,Mammalia,Trachypithecus francoisi,Francois's langur,voltage-dependent L-type calcium channel subunit alpha-1S isoform X1,3815,Y,128,63.37,98.28,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_023080478.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,voltage-dependent L-type calcium channel subunit alpha-1S,3811.15,Y,128,63.37,98.18,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_031992371.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,voltage-dependent L-type calcium channel subunit alpha-1S,3810.77,Y,128,63.37,98.17,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_010360980.2,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,LOW QUALITY PROTEIN: voltage-dependent L-type calcium channel subunit alpha-1S,3804.6,Y,128,63.37,98.02,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_011787105.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1S,3799.59,Y,128,63.37,97.89,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_003938303.1,36294,Mammalia,Mammalia,Saimiri boliviensis boliviensis,Bolivian squirrel monkey,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1S,3769.16,Y,128,63.37,97.1,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_017354897.1,53173,Mammalia,Mammalia,Cebus capucinus imitator,White-faced sapajou,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1S isoform X1,3767.62,Y,128,63.37,97.06,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_032144574.1,62479,Mammalia,Mammalia,Sapajus apella,Tufted capuchin,voltage-dependent L-type calcium channel subunit alpha-1S isoform X1,3759.15,Y,128,63.37,96.84,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_011846000.1,38457,Mammalia,Mammalia,Mandrillus leucophaeus,Drill,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1S,3748.36,Y,128,63.37,96.57,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_008065305.1,33251,Mammalia,Mammalia,Carlito syrichta,Philippine tarsier,voltage-dependent L-type calcium channel subunit alpha-1S isoform X2,3618.55,Y,128,63.37,93.22,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_021532971.1,48088,Mammalia,Mammalia,Aotus nancymaae,Ma's night monkey,LOW QUALITY PROTEIN: voltage-dependent L-type calcium channel subunit alpha-1S,3571.56,Y,128,63.37,92.01,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_026336473.1,43159,Mammalia,Mammalia,Ursus arctos horribilis,Brown bear,voltage-dependent L-type calcium channel subunit alpha-1S,3525.33,Y,128,63.37,90.82,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
5,XP_004392790.1,31381,Mammalia,Mammalia,Odobenus rosmarus divergens,Pacific walrus,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1S,3524.95,Y,128,63.37,90.81,Y,2021 04 05 19:11:39,Y,Explore in ECOTOX
