"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","Domain Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/NP_034380.1"",""NP_034380.1"")","312727","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10090&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10090"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10090&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Mus musculus"")","House mouse","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/NP_034380.1"",""gamma-aminobutyric acid receptor subunit alpha-1 precursor"")"," LGIC_ECD_GABAAR_A1","408.68","Y","203","89.91","100.00","Y","2021 06 16 12:40:03","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10090"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/NP_899155.1"",""NP_899155.1"")","151095","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10116&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10116"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10116&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Rattus norvegicus"")","Norway rat","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/NP_899155.1"",""gamma-aminobutyric acid receptor subunit alpha-1 precursor"")"," LGIC_ECD_GABAAR_A1","408.68","Y","203","89.91","100.00","Y","2021 06 16 12:40:03","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10116"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_021032591.1"",""XP_021032591.1"")","47700","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10089&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10089"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10089&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Mus caroli"")","Ryukyu mouse","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_021032591.1"",""gamma-aminobutyric acid receptor subunit alpha-1"")"," LGIC_ECD_GABAAR_A1","408.68","Y","203","89.91","100.00","Y","2021 06 16 12:40:03","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10089"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_031208769.1"",""XP_031208769.1"")","54476","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=35658&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""35658"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=35658&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Mastomys coucha"")","Southern multimammate mouse","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_031208769.1"",""gamma-aminobutyric acid receptor subunit alpha-1"")"," LGIC_ECD_GABAAR_A1","408.68","Y","203","89.91","100.00","Y","2021 06 16 12:40:03","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=35658"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/AAA37654.1"",""AAA37654.1"")","2813","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10092&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10092"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10092&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Mus musculus domesticus"")","Western European house mouse","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/AAA37654.1"",""GABA-alpha receptor alpha-1 subunit"")"," LGIC_ECD_GABAAR_A1","408.68","Y","203","89.91","100.00","Y","2021 06 16 12:40:03","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10092"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/AAB19294.1"",""AAB19294.1"")","1523","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10095&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10095"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10095&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Mus sp."")","Mice","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/AAB19294.1"",""GABAA receptor alpha 1 subunit "")"," LGIC_ECD_GABAAR_A1","408.68","Y","203","89.91","100.00","Y","2021 06 16 12:40:03","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10095"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_006897108.1"",""XP_006897108.1"")","25292","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=28737&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""28737"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=28737&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Elephantulus edwardii"")","Cape elephant shrew","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_006897108.1"",""PREDICTED: gamma-aminobutyric acid receptor subunit alpha-1"")"," LGIC_ECD_GABAAR_A1","408.68","Y","203","89.91","100.00","Y","2021 06 16 12:40:03","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=28737"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_002912566.1"",""XP_002912566.1"")","73097","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9646&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9646"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9646&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Ailuropoda melanoleuca"")","Giant panda","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_002912566.1"",""gamma-aminobutyric acid receptor subunit alpha-1"")"," LGIC_ECD_GABAAR_A1","408.68","Y","203","89.91","100.00","Y","2021 06 16 12:40:03","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9646"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_006928021.1"",""XP_006928021.1"")","57491","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9685&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9685"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9685&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Felis catus"")","Domestic cat","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_006928021.1"",""gamma-aminobutyric acid receptor subunit alpha-1 isoform X1"")"," LGIC_ECD_GABAAR_A1","408.68","Y","203","89.91","100.00","Y","2021 06 16 12:40:03","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9685"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_007077690.1"",""XP_007077690.1"")","29960","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=74533&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""74533"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=74533&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Panthera tigris altaica"")","Amur tiger","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_007077690.1"",""PREDICTED: gamma-aminobutyric acid receptor subunit alpha-1"")"," LGIC_ECD_GABAAR_A1","408.68","Y","203","89.91","100.00","Y","2021 06 16 12:40:03","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=74533"",""Explore in ECOTOX"")"
