"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","Domain Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ACM90349.1"",""ACM90349.1"")","1802968","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9606"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Homo sapiens"")","Human","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ACM90349.1"",""mu opioid receptor hMOR-1a"")"," 7tmA_Mu_opioid_R","567.77","Y","169","88.87","100.00","Y","2021 04 30 16:59:35","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9606"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_028620169.1"",""XP_028620169.1"")","38191","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=491861&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""491861"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=491861&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Grammomys surdaster"")","African thicket rats","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_028620169.1"",""mu-type opioid receptor isoform X2"")"," 7tmA_Mu_opioid_R","567.38","Y","169","88.87","99.93","Y","2021 04 30 16:59:35","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=491861"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_031208624.1"",""XP_031208624.1"")","54476","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=35658&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""35658"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=35658&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Mastomys coucha"")","Southern multimammate mouse","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_031208624.1"",""mu-type opioid receptor isoform X2"")"," 7tmA_Mu_opioid_R","567.00","Y","169","88.87","99.86","Y","2021 04 30 16:59:35","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=35658"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_034347815.1"",""XP_034347815.1"")","41654","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=61156&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""61156"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=61156&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Arvicanthis niloticus"")","African grass rat","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_034347815.1"",""mu-type opioid receptor isoform X5"")"," 7tmA_Mu_opioid_R","567.00","Y","169","88.87","99.86","Y","2021 04 30 16:59:35","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=61156"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032750667.1"",""XP_032750667.1"")","36141","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10117&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10117"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10117&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Rattus rattus"")","Black rat","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032750667.1"",""mu-type opioid receptor isoform X1"")"," 7tmA_Mu_opioid_R","567.00","Y","169","88.87","99.86","Y","2021 04 30 16:59:35","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10117"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_021076552.1"",""XP_021076552.1"")","42365","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10093&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10093"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10093&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Mus pahari"")","Shrew mouse","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_021076552.1"",""mu-type opioid receptor isoform X3"")"," 7tmA_Mu_opioid_R","567.00","Y","169","88.87","99.86","Y","2021 04 30 16:59:35","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10093"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_020842317.1"",""XP_020842317.1"")","47241","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=38626&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""38626"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=38626&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Phascolarctos cinereus"")","Koala","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_020842317.1"",""mu-type opioid receptor isoform X1"")"," 7tmA_Mu_opioid_R","567.00","Y","169","88.87","99.86","Y","2021 04 30 16:59:35","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=38626"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_026249591.1"",""XP_026249591.1"")","36482","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9999&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9999"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9999&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Urocitellus parryii"")","Arctic ground squirrel","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_026249591.1"",""mu-type opioid receptor isoform X2"")"," 7tmA_Mu_opioid_R","566.61","Y","169","88.87","99.80","Y","2021 04 30 16:59:35","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9999"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_027795277.1"",""XP_027795277.1"")","37707","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=93162&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""93162"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=93162&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Marmota flaviventris"")","Yellow-bellied marmot","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_027795277.1"",""mu-type opioid receptor isoform X2"")"," 7tmA_Mu_opioid_R","566.61","Y","169","88.87","99.80","Y","2021 04 30 16:59:35","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=93162"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_015357902.1"",""XP_015357902.1"")","31063","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9994&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9994"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9994&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Marmota marmota marmota"")","Alpine marmot","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_015357902.1"",""PREDICTED: mu-type opioid receptor isoform X2"")"," 7tmA_Mu_opioid_R","566.61","Y","169","88.87","99.80","Y","2021 04 30 16:59:35","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9994"",""Explore in ECOTOX"")"
