"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","Domain Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P09252.1"",""P09252.1"")","77","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10338&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10338"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10338&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Human herpesvirus 3 strain Dumas"")","Varicella-zoster virus","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P09252.1"",""RecName: Full=DNA polymerase catalytic subunit"")"," PHA03334","414.46","Y","1","22.00","100.00","Y","2021 04 30 16:48:51","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10338"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/NP_040151.1"",""NP_040151.1"")","2953","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10335&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10335"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10335&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Human alphaherpesvirus 3"")","Varicella-zoster virus","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/NP_040151.1"",""DNA polymerase catalytic subunit"")"," PHA03334","414.46","Y","1","22.00","100.00","Y","2021 04 30 16:48:51","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10335"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/Q4JQU7.1"",""Q4JQU7.1"")","64","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=341980&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""341980"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=341980&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Human herpesvirus 3 strain Oka vaccine"")","Varicella-zoster virus","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/Q4JQU7.1"",""RecName: Full=DNA polymerase catalytic subunit"")"," PHA03334","414.46","N","1","22.00","100.00","Y","2021 04 30 16:48:51","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=341980"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/NP_077443.1"",""NP_077443.1"")","165","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=35246&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""35246"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=35246&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Cercopithecine alphaherpesvirus 9"")","Simian varicella virus","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/NP_077443.1"",""DNA polymerase catalytic subunit"")"," PHA03334","312.00","N","1","22.00","75.28","Y","2021 04 30 16:48:51","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=35246"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/SCL76940.1"",""SCL76940.1"")","258","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2169402&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""2169402"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2169402&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Sphenicid alphaherpesvirus 1"")","Alphaherpesviruses","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/SCL76940.1"",""DNA polymerase catalytic subunit"")"," PHA03334","293.51","N","1","22.00","70.82","Y","2021 04 30 16:48:51","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=2169402"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/YP_003084391.1"",""YP_003084391.1"")","703","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=104388&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""104388"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=104388&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Anatid alphaherpesvirus 1"")","Alphaherpesviruses","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/YP_003084391.1"",""UL30"")"," PHA03334","290.81","N","1","22.00","70.17","Y","2021 04 30 16:48:51","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=104388"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/AHD45951.1"",""AHD45951.1"")","75","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1435263&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""1435263"")","Not Found","BAC cloning vector pDEV-vac","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1435263&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""BAC cloning vector pDEV-vac"")","Other sequences","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/AHD45951.1"",""UL30"")"," PHA03334","290.81","N","1","22.00","70.17","Y","2021 04 30 16:48:51","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=1435263"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ASW27076.1"",""ASW27076.1"")","100","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1434720&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""1434720"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1434720&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Beluga whale alphaherpesvirus 1"")","Alphaherpesviruses","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ASW27076.1"",""DNA polymerase catalytic subunit"")"," PHA03334","289.27","N","1","22.00","69.79","Y","2021 04 30 16:48:51","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=1434720"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/SBO07727.1"",""SBO07727.1"")","468","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10299&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10299"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10299&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Human alphaherpesvirus 1 strain 17"")","Herpes simplex virus type 1","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/SBO07727.1"",""DNA polymerase catalytic subunit"")"," PHA03334","288.50","N","1","22.00","69.61","Y","2021 04 30 16:48:51","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10299"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P09854.1"",""P09854.1"")","2","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10309&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10309"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10309&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Human alphaherpesvirus 1 strain SC16"")","Herpes simplex virus type 1","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P09854.1"",""RecName: Full=DNA polymerase catalytic subunit"")"," PHA03334","288.50","N","1","22.00","69.61","Y","2021 04 30 16:48:51","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10309"",""Explore in ECOTOX"")"
