"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/O75469.1"",""O75469.1"")","1802968","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9606"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Homo sapiens"")","Human","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/O75469.1"",""RecName: Full=Nuclear receptor subfamily 1 group I member 2; AltName: Full=Orphan nuclear receptor PAR1; AltName: Full=Orphan nuclear receptor PXR; AltName: Full=Pregnane X receptor; AltName: Full=Steroid and xenobiotic receptor; Short=SXR"")","905.98","Y","2","77.64","100.00","Y","2021 06 04 15:03:14","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9606"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_010843684.1"",""XP_010843684.1"")","35574","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=43346&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""43346"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=43346&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Bison bison bison"")","American bison","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_010843684.1"",""PREDICTED: nuclear receptor subfamily 1 group I member 2"")","733.79","Y","2","77.64","80.99","Y","2021 06 04 15:03:14","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=43346"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_012497784.1"",""XP_012497784.1"")","28331","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=379532&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""379532"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=379532&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Propithecus coquereli"")","Coquerel's sifaka","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_012497784.1"",""PREDICTED: nuclear receptor subfamily 1 group I member 2"")","703.36","Y","2","77.64","77.64","Y","2021 06 04 15:03:14","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=379532"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_016797208.1"",""XP_016797208.1"")","171847","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9598&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9598"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9598&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Pan troglodytes"")","Chimpanzee","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_016797208.1"",""nuclear receptor subfamily 1 group I member 2 isoform X3"")","897.50","N","2","77.64","99.06","Y","2021 06 04 15:03:14","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9598"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_002813289.1"",""XP_002813289.1"")","141140","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9601&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9601"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9601&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Pongo abelii"")","Sumatran orangutan","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_002813289.1"",""nuclear receptor subfamily 1 group I member 2 isoform X1"")","886.33","N","2","77.64","97.83","Y","2021 06 04 15:03:14","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9601"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_025231959.1"",""XP_025231959.1"")","52581","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9565&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9565"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9565&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Theropithecus gelada"")","Gelada","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_025231959.1"",""nuclear receptor subfamily 1 group I member 2 isoform X1"")","875.93","N","2","77.64","96.68","Y","2021 06 04 15:03:14","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9565"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_005548110.1"",""XP_005548110.1"")","97446","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9541&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9541"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9541&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Macaca fascicularis"")","Crab-eating macaque","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_005548110.1"",""PREDICTED: nuclear receptor subfamily 1 group I member 2 isoform X2"")","873.23","N","2","77.64","96.39","Y","2021 06 04 15:03:14","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9541"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_007983877.1"",""XP_007983877.1"")","62219","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=60711&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""60711"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=60711&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Chlorocebus sabaeus"")","Green monkey","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_007983877.1"",""PREDICTED: nuclear receptor subfamily 1 group I member 2 isoform X2"")","873.23","N","2","77.64","96.39","Y","2021 06 04 15:03:14","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=60711"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_003894027.1"",""XP_003894027.1"")","73457","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9555&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9555"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9555&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Papio anubis"")","Olive baboon","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_003894027.1"",""nuclear receptor subfamily 1 group I member 2 isoform X2"")","872.46","N","2","77.64","96.30","Y","2021 06 04 15:03:14","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9555"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_011720497.1"",""XP_011720497.1"")","68519","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9545&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9545"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9545&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Macaca nemestrina"")","Pig-tailed macaque","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_011720497.1"",""nuclear receptor subfamily 1 group I member 2 isoform X2"")","872.08","N","2","77.64","96.26","Y","2021 06 04 15:03:14","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9545"",""Explore in ECOTOX"")"
