Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P00915.2,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Carbonic anhydrase 1; AltName: Full=Carbonate dehydratase I; AltName: Full=Carbonic anhydrase B; Short=CAB; AltName: Full=Carbonic anhydrase I; Short=CA-I,542.35,Y,170,41.69,100,Y,2021 06 15 14:44:30,Y,Explore in ECOTOX
5,NP_001182062.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,carbonic anhydrase 1,540.04,Y,170,41.69,99.57,Y,2021 06 15 14:44:30,Y,Explore in ECOTOX
5,XP_003831296.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,carbonic anhydrase 1 isoform X1,540.04,Y,170,41.69,99.57,Y,2021 06 15 14:44:30,Y,Explore in ECOTOX
5,XP_018887801.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,carbonic anhydrase 1 isoform X1,535.03,Y,170,41.69,98.65,Y,2021 06 15 14:44:30,Y,Explore in ECOTOX
5,XP_003269565.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,carbonic anhydrase 1 isoform X1,530.02,Y,170,41.69,97.73,Y,2021 06 15 14:44:30,Y,Explore in ECOTOX
5,XP_032615856.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,carbonic anhydrase 1 isoform X1,529.25,Y,170,41.69,97.59,Y,2021 06 15 14:44:30,Y,Explore in ECOTOX
5,XP_007999193.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: carbonic anhydrase 1 isoform X2,523.86,Y,170,41.69,96.59,Y,2021 06 15 14:44:30,Y,Explore in ECOTOX
5,XP_011792488.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: carbonic anhydrase 1 isoform X1,522.32,Y,170,41.69,96.31,Y,2021 06 15 14:44:30,Y,Explore in ECOTOX
5,XP_023083597.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,carbonic anhydrase 1 isoform X1,521.93,Y,170,41.69,96.24,Y,2021 06 15 14:44:30,Y,Explore in ECOTOX
5,XP_015001152.1,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,carbonic anhydrase 1,520,Y,170,41.69,95.88,Y,2021 06 15 14:44:30,Y,Explore in ECOTOX
