"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","Domain Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P41145.2"",""P41145.2"")","1802968","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9606"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Homo sapiens"")","Human","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P41145.2"",""RecName: Full=Kappa-type opioid receptor; Short=K-OR-1; Short=KOR-1"")"," 7tmA_Kappa_opioid_R","567.38","Y","15","76.44","100.00","Y","2021 03 09 12:27:19","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9606"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_023124920.1"",""XP_023124920.1"")","39307","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=80972&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""80972"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=80972&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Amphiprion ocellaris"")","Clown anemonefish","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_023124920.1"",""kappa-type opioid receptor-like"")"," 7tmA_Kappa_opioid_R","455.68","Y","15","76.44","80.31","Y","2021 03 09 12:27:19","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=80972"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/KTF87820.1"",""KTF87820.1"")","116951","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7962&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""7962"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7962&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Cyprinus carpio"")","Common carp","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/KTF87820.1"",""hypothetical protein cypCar_00021532"")"," 7tmA_Kappa_opioid_R","442.96","Y","15","76.44","78.07","Y","2021 03 09 12:27:19","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=7962"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_005798611.1"",""XP_005798611.1"")","43733","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8083&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""8083"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8083&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Xiphophorus maculatus"")","Southern platyfish","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_005798611.1"",""kappa-type opioid receptor isoform X1"")"," 7tmA_Kappa_opioid_R","437.96","Y","15","76.44","77.19","Y","2021 03 09 12:27:19","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=8083"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032407268.1"",""XP_032407268.1"")","46432","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8084&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""8084"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8084&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Xiphophorus hellerii"")","Green swordtail","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032407268.1"",""delta-type opioid receptor-like isoform X1"")"," 7tmA_Kappa_opioid_R","437.96","Y","15","76.44","77.19","Y","2021 03 09 12:27:19","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=8084"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_027860784.1"",""XP_027860784.1"")","47114","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=32473&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""32473"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=32473&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Xiphophorus couchianus"")","Monterrey platyfish","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_027860784.1"",""delta-type opioid receptor-like isoform X1"")"," 7tmA_Kappa_opioid_R","437.96","Y","15","76.44","77.19","Y","2021 03 09 12:27:19","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=32473"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_023694642.1"",""XP_023694642.1"")","55295","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1676925&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""1676925"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1676925&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Paramormyrops kingsleyae"")","Elephantfishes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_023694642.1"",""delta-type opioid receptor-like"")"," 7tmA_Kappa_opioid_R","436.42","Y","15","76.44","76.92","Y","2021 03 09 12:27:19","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=1676925"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/PWA17939.1"",""PWA17939.1"")","19596","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=33528&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""33528"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=33528&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Gambusia affinis"")","Western mosquitofish","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/PWA17939.1"",""hypothetical protein CCH79_00004070"")"," 7tmA_Kappa_opioid_R","436.03","Y","15","76.44","76.85","Y","2021 03 09 12:27:19","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=33528"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_017261824.1"",""XP_017261824.1"")","43259","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=37003&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""37003"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=37003&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Kryptolebias marmoratus"")","Mangrove rivulus","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_017261824.1"",""kappa-type opioid receptor"")"," 7tmA_Kappa_opioid_R","434.88","Y","15","76.44","76.65","Y","2021 03 09 12:27:19","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=37003"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_008289032.1"",""XP_008289032.1"")","31742","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=144197&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""144197"")","Actinopteri","Actinopteri","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=144197&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Stegastes partitus"")","Bicolor damselfish","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_008289032.1"",""PREDICTED: delta-type opioid receptor-like"")"," 7tmA_Kappa_opioid_R","434.88","Y","15","76.44","76.65","Y","2021 03 09 12:27:19","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=144197"",""Explore in ECOTOX"")"
