Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,Q15825.1,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Neuronal acetylcholine receptor subunit alpha-6; Flags: Precursor,1023.85,Y,303,61.29,100,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,NP_001029266.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,neuronal acetylcholine receptor subunit alpha-6 precursor,1021.54,Y,303,61.29,99.77,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_003823324.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,neuronal acetylcholine receptor subunit alpha-6 isoform X1,1021.15,Y,303,61.29,99.74,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_002819097.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,neuronal acetylcholine receptor subunit alpha-6 isoform X1,1002.28,Y,303,61.29,97.89,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_011812474.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: neuronal acetylcholine receptor subunit alpha-6 isoform X1,1001.12,Y,303,61.29,97.78,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_002757059.1,47726,Mammalia,Mammalia,Callithrix jacchus,White-tufted-ear marmoset,PREDICTED: neuronal acetylcholine receptor subunit alpha-6,998.42,Y,303,61.29,97.52,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_023070208.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,neuronal acetylcholine receptor subunit alpha-6 isoform X1,998.04,Y,303,61.29,97.48,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_017704603.1,49687,Mammalia,Mammalia,Rhinopithecus bieti,Black snub-nosed monkey,PREDICTED: neuronal acetylcholine receptor subunit alpha-6,995.73,Y,303,61.29,97.25,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_033088411.1,63302,Mammalia,Mammalia,Trachypithecus francoisi,Francois's langur,neuronal acetylcholine receptor subunit alpha-6,990.72,Y,303,61.29,96.76,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_007960537.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: neuronal acetylcholine receptor subunit alpha-6,989.95,Y,303,61.29,96.69,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_010354615.2,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,neuronal acetylcholine receptor subunit alpha-6 isoform X1,989.56,Y,303,61.29,96.65,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_003269697.2,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,neuronal acetylcholine receptor subunit alpha-6 isoform X1,988.79,Y,303,61.29,96.58,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_031999514.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,neuronal acetylcholine receptor subunit alpha-6 isoform X1,988.02,Y,303,61.29,96.5,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_032143941.1,62479,Mammalia,Mammalia,Sapajus apella,Tufted capuchin,neuronal acetylcholine receptor subunit alpha-6 isoform X2,987.64,Y,303,61.29,96.46,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_011856432.1,38457,Mammalia,Mammalia,Mandrillus leucophaeus,Drill,PREDICTED: neuronal acetylcholine receptor subunit alpha-6 isoform X1,987.25,Y,303,61.29,96.43,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_011937371.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: neuronal acetylcholine receptor subunit alpha-6 isoform X1,987.25,Y,303,61.29,96.43,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_017401459.1,53173,Mammalia,Mammalia,Cebus capucinus imitator,White-faced sapajou,PREDICTED: neuronal acetylcholine receptor subunit alpha-6,985.71,Y,303,61.29,96.28,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_001099152.1,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,neuronal acetylcholine receptor subunit alpha-6 isoform X1,984.17,Y,303,61.29,96.12,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_003902754.2,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,neuronal acetylcholine receptor subunit alpha-6,984.17,Y,303,61.29,96.12,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_025250373.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,neuronal acetylcholine receptor subunit alpha-6 isoform X1,982.63,Y,303,61.29,95.97,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_005563287.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,PREDICTED: neuronal acetylcholine receptor subunit alpha-6,981.86,Y,303,61.29,95.9,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_012331519.1,48088,Mammalia,Mammalia,Aotus nancymaae,Ma's night monkey,neuronal acetylcholine receptor subunit alpha-6 isoform X3,979.16,Y,303,61.29,95.64,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_003942426.1,36294,Mammalia,Mammalia,Saimiri boliviensis boliviensis,Bolivian squirrel monkey,PREDICTED: neuronal acetylcholine receptor subunit alpha-6 isoform X1,977.62,Y,303,61.29,95.48,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_011730798.1,68519,Mammalia,Mammalia,Macaca nemestrina,Pig-tailed macaque,neuronal acetylcholine receptor subunit alpha-6 isoform X1,972.62,Y,303,61.29,95,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_008053180.1,33251,Mammalia,Mammalia,Carlito syrichta,Philippine tarsier,neuronal acetylcholine receptor subunit alpha-6 isoform X1,946.42,Y,303,61.29,92.44,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_006916324.1,59370,Mammalia,Mammalia,Pteropus alecto,Black flying fox,neuronal acetylcholine receptor subunit alpha-6 isoform X1,940.64,Y,303,61.29,91.87,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_011371181.1,43865,Mammalia,Mammalia,Pteropus vampyrus,Large flying fox,neuronal acetylcholine receptor subunit alpha-6 isoform X1,940.64,Y,303,61.29,91.87,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_029796372.1,43342,Mammalia,Mammalia,Suricata suricatta,Meerkat,neuronal acetylcholine receptor subunit alpha-6 isoform X1,929.47,Y,303,61.29,90.78,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_007097087.1,29960,Mammalia,Mammalia,Panthera tigris altaica,Amur tiger,PREDICTED: neuronal acetylcholine receptor subunit alpha-6,929.09,Y,303,61.29,90.74,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_019296200.1,58569,Mammalia,Mammalia,Panthera pardus,Leopard,PREDICTED: neuronal acetylcholine receptor subunit alpha-6 isoform X1,929.09,Y,303,61.29,90.74,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_030869467.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,neuronal acetylcholine receptor subunit alpha-6,927.16,Y,303,61.29,90.56,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_014943987.1,56435,Mammalia,Mammalia,Acinonyx jubatus,Cheetah,neuronal acetylcholine receptor subunit alpha-6 isoform X1,927.16,Y,303,61.29,90.56,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_004441270.1,33628,Mammalia,Mammalia,Ceratotherium simum simum,Southern white rhinoceros,PREDICTED: neuronal acetylcholine receptor subunit alpha-6 isoform X1,927.16,Y,303,61.29,90.56,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_003984792.1,57491,Mammalia,Mammalia,Felis catus,Domestic cat,neuronal acetylcholine receptor subunit alpha-6 isoform X1,926.78,Y,303,61.29,90.52,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_030167726.1,42103,Mammalia,Mammalia,Lynx canadensis,Canada lynx,neuronal acetylcholine receptor subunit alpha-6 isoform X1,926.01,Y,303,61.29,90.44,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_005340355.1,38807,Mammalia,Mammalia,Ictidomys tridecemlineatus,Thirteen-lined ground squirrel,neuronal acetylcholine receptor subunit alpha-6,924.47,Y,303,61.29,90.29,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_025777240.1,23618,Mammalia,Mammalia,Puma concolor,Puma,neuronal acetylcholine receptor subunit alpha-6 isoform X1,924.08,Y,303,61.29,90.26,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,VFV47354.1,31243,Mammalia,Mammalia,Lynx pardinus,Spanish lynx,neuronal acetylcholine receptor,924.08,Y,303,61.29,90.26,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_032960446.1,48727,Mammalia,Mammalia,Rhinolophus ferrumequinum,Greater horseshoe bat,neuronal acetylcholine receptor subunit alpha-6 isoform X1,923.69,Y,303,61.29,90.22,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_006097092.1,43977,Mammalia,Mammalia,Myotis lucifugus,Little brown bat,neuronal acetylcholine receptor subunit alpha-6 isoform X1,919.07,Y,303,61.29,89.77,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
5,XP_024434687.1,30697,Mammalia,Mammalia,Desmodus rotundus,Common vampire bat,neuronal acetylcholine receptor subunit alpha-6 isoform X1,917.92,Y,303,61.29,89.65,Y,2021 06 15 14:56:51,Y,Explore in ECOTOX
