Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P30926.2,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Neuronal acetylcholine receptor subunit beta-4; Flags: Precursor,1029.62,Y,345,58.55,100,Y,2021 06 15 15:00:54,Y,Explore in ECOTOX
5,XP_004056660.3,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,neuronal acetylcholine receptor subunit beta-4 isoform X1,1015.37,Y,345,58.55,98.62,Y,2021 06 15 15:00:54,Y,Explore in ECOTOX
5,XP_030669693.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,neuronal acetylcholine receptor subunit beta-4 isoform X1,1011.13,Y,345,58.55,98.2,Y,2021 06 15 15:00:54,Y,Explore in ECOTOX
5,XP_003813864.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,neuronal acetylcholine receptor subunit beta-4 isoform X1,1009.59,Y,345,58.55,98.05,Y,2021 06 15 15:00:54,Y,Explore in ECOTOX
5,XP_016783193.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,neuronal acetylcholine receptor subunit beta-4 isoform X1,1009.59,Y,345,58.55,98.05,Y,2021 06 15 15:00:54,Y,Explore in ECOTOX
5,XP_032031949.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,neuronal acetylcholine receptor subunit beta-4 isoform X1,1006.51,Y,345,58.55,97.76,Y,2021 06 15 15:00:54,Y,Explore in ECOTOX
5,XP_024088464.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,neuronal acetylcholine receptor subunit beta-4 isoform X1,1001.12,Y,345,58.55,97.23,Y,2021 06 15 15:00:54,Y,Explore in ECOTOX
5,XP_008013892.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: neuronal acetylcholine receptor subunit beta-4 isoform X1,950.27,Y,345,58.55,92.29,Y,2021 06 15 15:00:54,Y,Explore in ECOTOX
5,XP_011885163.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: neuronal acetylcholine receptor subunit beta-4 isoform X1,949.89,Y,345,58.55,92.26,Y,2021 06 15 15:00:54,Y,Explore in ECOTOX
5,XP_028707044.1,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,neuronal acetylcholine receptor subunit beta-4,949.5,Y,345,58.55,92.22,Y,2021 06 15 15:00:54,Y,Explore in ECOTOX
5,XP_005560273.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,PREDICTED: neuronal acetylcholine receptor subunit beta-4,947.58,Y,345,58.55,92.03,Y,2021 06 15 15:00:54,Y,Explore in ECOTOX
