Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P08913.4,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Alpha-2A adrenergic receptor; AltName: Full=Alpha-2 adrenergic receptor subtype C10; AltName: Full=Alpha-2A adrenoreceptor; Short=Alpha-2A adrenoceptor; Short=Alpha-2AAR,940.64,Y,358,45.45,100,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_018889886.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,alpha-2A adrenergic receptor,937.56,Y,358,45.45,99.67,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_003312813.2,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,alpha-2A adrenergic receptor,936.02,Y,358,45.45,99.51,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_004092941.2,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,alpha-2A adrenergic receptor,930.63,Y,358,45.45,98.94,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_002821191.2,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,alpha-2A adrenergic receptor,929.86,Y,358,45.45,98.85,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_032033836.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,alpha-2A adrenergic receptor,928.7,Y,358,45.45,98.73,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_032168477.1,60642,Mammalia,Mammalia,Mustela erminea,Ermine,alpha-2A adrenergic receptor,911.37,Y,358,45.45,96.89,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_022355212.1,36593,Mammalia,Mammalia,Enhydra lutris kenyoni,Sea otter,alpha-2A adrenergic receptor,909.06,Y,358,45.45,96.64,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_011714101.1,68519,Mammalia,Mammalia,Macaca nemestrina,Pig-tailed macaque,alpha-2A adrenergic receptor,907.9,Y,358,45.45,96.52,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_011898283.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: alpha-2A adrenergic receptor,907.9,Y,358,45.45,96.52,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_003919509.1,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,alpha-2A adrenergic receptor,907.9,Y,358,45.45,96.52,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_025252822.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,alpha-2A adrenergic receptor,907.9,Y,358,45.45,96.52,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_015003670.1,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,alpha-2A adrenergic receptor,906.36,Y,358,45.45,96.36,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_030797338.1,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,alpha-2A adrenergic receptor,900.58,Y,358,45.45,95.74,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_033038858.1,63302,Mammalia,Mammalia,Trachypithecus francoisi,Francois's langur,alpha-2A adrenergic receptor,899.81,Y,358,45.45,95.66,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_023062376.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,alpha-2A adrenergic receptor,898.66,Y,358,45.45,95.54,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_009008525.1,47726,Mammalia,Mammalia,Callithrix jacchus,White-tufted-ear marmoset,PREDICTED: LOW QUALITY PROTEIN: alpha-2A adrenergic receptor,886.33,Y,358,45.45,94.23,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_032137500.1,62479,Mammalia,Mammalia,Sapajus apella,Tufted capuchin,alpha-2A adrenergic receptor,882.86,Y,358,45.45,93.86,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_022424497.1,50906,Mammalia,Mammalia,Delphinapterus leucas,Beluga whale,alpha-2A adrenergic receptor,882.09,Y,358,45.45,93.78,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_006831402.1,25292,Mammalia,Mammalia,Chrysochloris asiatica,Cape golden mole,PREDICTED: alpha-2A adrenergic receptor,878.63,Y,358,45.45,93.41,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_023495218.1,67727,Mammalia,Mammalia,Equus caballus,Horse,alpha-2A adrenergic receptor,874.39,Y,358,45.45,92.96,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_023977264.1,51261,Mammalia,Mammalia,Physeter catodon,Sperm whale,alpha-2A adrenergic receptor,872.46,Y,358,45.45,92.75,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_007962283.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: alpha-2A adrenergic receptor,870.92,Y,358,45.45,92.59,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_005566478.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,PREDICTED: alpha-2A adrenergic receptor,867.46,Y,358,45.45,92.22,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_021522550.1,48088,Mammalia,Mammalia,Aotus nancymaae,Ma's night monkey,LOW QUALITY PROTEIN: alpha-2A adrenergic receptor,866.68,Y,358,45.45,92.14,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_017355164.1,53173,Mammalia,Mammalia,Cebus capucinus imitator,White-faced sapajou,PREDICTED: alpha-2A adrenergic receptor,865.91,Y,358,45.45,92.06,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_006194508.2,74403,Mammalia,Mammalia,Camelus ferus,Wild Bactrian camel,alpha-2A adrenergic receptor,864.37,Y,358,45.45,91.89,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_033276941.1,59479,Mammalia,Mammalia,Orcinus orca,Killer whale,alpha-2A adrenergic receptor,863.99,Y,358,45.45,91.85,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_026968374.1,54700,Mammalia,Mammalia,Lagenorhynchus obliquidens,Pacific white-sided dolphin,alpha-2A adrenergic receptor,863.99,Y,358,45.45,91.85,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_019795550.1,56999,Mammalia,Mammalia,Tursiops truncatus,Common bottlenose dolphin,alpha-2A adrenergic receptor,863.22,Y,358,45.45,91.77,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_027452936.1,59271,Mammalia,Mammalia,Zalophus californianus,California sea lion,alpha-2A adrenergic receptor isoform X1,862.83,Y,358,45.45,91.73,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
5,XP_030698301.1,54641,Mammalia,Mammalia,Globicephala melas,Long-finned pilot whale,alpha-2A adrenergic receptor,861.68,Y,358,45.45,91.61,Y,2020 10 16 10:06:13,Y,Explore in ECOTOX
