"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","Domain Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P14650.1"",""P14650.1"")","151095","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10116&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10116"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10116&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Rattus norvegicus"")","Norway rat","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P14650.1"",""RecName: Full=Thyroid peroxidase; Short=TPO; Flags: Precursor"")"," CCP","114.39","Y","49","43.09","100.00","Y","2021 06 14 12:12:01","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10116"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_006864023.1"",""XP_006864023.1"")","25292","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=185453&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""185453"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=185453&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Chrysochloris asiatica"")","Cape golden mole","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_006864023.1"",""PREDICTED: thyroid peroxidase-like isoform X1"")"," CCP","90.51","Y","49","43.09","79.12","Y","2021 06 14 12:12:01","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=185453"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_010590185.1"",""XP_010590185.1"")","41868","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9785&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9785"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9785&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Loxodonta africana"")","African savanna elephant","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_010590185.1"",""thyroid peroxidase isoform X1"")"," CCP","90.12","Y","49","43.09","78.79","Y","2021 06 14 12:12:01","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9785"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032980115.1"",""XP_032980115.1"")","48727","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=59479&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""59479"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=59479&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Rhinolophus ferrumequinum"")","Greater horseshoe bat","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032980115.1"",""thyroid peroxidase"")"," CCP","85.11","Y","49","43.09","74.41","Y","2021 06 14 12:12:01","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=59479"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_004620043.1"",""XP_004620043.1"")","24062","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=42254&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""42254"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=42254&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Sorex araneus"")","European shrew","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_004620043.1"",""PREDICTED: thyroid peroxidase"")"," CCP","80.11","Y","49","43.09","70.03","Y","2021 06 14 12:12:01","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=42254"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_012781642.1"",""XP_012781642.1"")","26023","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9978&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9978"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9978&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Ochotona princeps"")","American pika","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_012781642.1"",""PREDICTED: LOW QUALITY PROTEIN: thyroid peroxidase"")"," CCP","79.72","Y","49","43.09","69.69","Y","2021 06 14 12:12:01","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9978"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_030410065.1"",""XP_030410065.1"")","50866","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1825980&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""1825980"")","Testudines","Testudines","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1825980&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Gopherus evgoodei"")","Goodes thornscrub tortoise","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_030410065.1"",""thyroid peroxidase"")"," CCP","78.57","Y","49","43.09","68.68","Y","2021 06 14 12:12:01","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=1825980"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_024071560.1"",""XP_024071560.1"")","34211","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2587831&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""2587831"")","Testudines","Testudines","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2587831&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Terrapene carolina triunguis"")","Three-toed box turtle","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_024071560.1"",""thyroid peroxidase"")"," CCP","77.03","Y","49","43.09","67.34","Y","2021 06 14 12:12:01","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=2587831"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_010130146.1"",""XP_010130146.1"")","27261","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=175836&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""175836"")","Aves","Aves","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=175836&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Buceros rhinoceros silvestris"")","Rhinoceros hornbill","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_010130146.1"",""PREDICTED: thyroid peroxidase, partial"")"," CCP","68.94","Y","49","43.09","60.26","Y","2021 06 14 12:12:01","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=175836"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/RLW12171.1"",""RLW12171.1"")","19058","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=44316&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""44316"")","Aves","Aves","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=44316&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Erythrura gouldiae"")","Gouldian finch","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/RLW12171.1"",""hypothetical protein DV515_00000744, partial"")"," CCP","68.55","Y","49","43.09","59.93","Y","2021 06 14 12:12:01","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=44316"",""Explore in ECOTOX"")"
