Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P17544.2,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Cyclic AMP-dependent transcription factor ATF-7; Short=cAMP-dependent transcription factor ATF-7; AltName: Full=Activating transcription factor 7; AltName: Full=Transcription factor ATF-A,996.11,Y,140,53.79,100,Y,2021 06 23 11:33:04,Y,Explore in ECOTOX
5,XP_003831055.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,cyclic AMP-dependent transcription factor ATF-7 isoform X1,996.11,Y,140,53.79,100,Y,2021 06 23 11:33:04,Y,Explore in ECOTOX
5,XP_018894485.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,cyclic AMP-dependent transcription factor ATF-7 isoform X1,996.11,Y,140,53.79,100,Y,2021 06 23 11:33:04,Y,Explore in ECOTOX
5,XP_009423541.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,cyclic AMP-dependent transcription factor ATF-7 isoform X1,996.11,Y,140,53.79,100,Y,2021 06 23 11:33:04,Y,Explore in ECOTOX
5,XP_024111929.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,cyclic AMP-dependent transcription factor ATF-7 isoform X1,993.8,Y,140,53.79,99.77,Y,2021 06 23 11:33:04,Y,Explore in ECOTOX
5,XP_008001653.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: cyclic AMP-dependent transcription factor ATF-7 isoform X1,991.88,Y,140,53.79,99.57,Y,2021 06 23 11:33:04,Y,Explore in ECOTOX
5,XP_028685355.1,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,cyclic AMP-dependent transcription factor ATF-7 isoform X2,991.88,Y,140,53.79,99.57,Y,2021 06 23 11:33:04,Y,Explore in ECOTOX
5,XP_021778158.2,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,cyclic AMP-dependent transcription factor ATF-7 isoform X1,991.88,Y,140,53.79,99.57,Y,2021 06 23 11:33:04,Y,Explore in ECOTOX
5,XP_025258752.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,cyclic AMP-dependent transcription factor ATF-7 isoform X1,991.88,Y,140,53.79,99.57,Y,2021 06 23 11:33:04,Y,Explore in ECOTOX
5,XP_011847965.1,38457,Mammalia,Mammalia,Mandrillus leucophaeus,Drill,PREDICTED: cyclic AMP-dependent transcription factor ATF-7 isoform X1,991.88,Y,140,53.79,99.57,Y,2021 06 23 11:33:04,Y,Explore in ECOTOX
