"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","Domain Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P37088.1"",""P37088.1"")","1802968","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9606"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Homo sapiens"")","Human","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P37088.1"",""RecName: Full=Amiloride-sensitive sodium channel subunit alpha; AltName: Full=Alpha-NaCH; AltName: Full=Epithelial Na(+) channel subunit alpha; Short=Alpha-ENaC; Short=ENaCA; AltName: Full=Nonvoltage-gated sodium channel 1 subunit alpha; AltName: Full=SCNEA"")"," Amiloride-sensitive_sodium_channel_subunit_alpha","1243.80","Y","23","50.51","100.00","Y","2021 05 04 13:20:47","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9606"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_033079005.1"",""XP_033079005.1"")","63302","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=54180&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""54180"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=54180&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Trachypithecus francoisi"")","Francois's langur","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_033079005.1"",""amiloride-sensitive sodium channel subunit alpha isoform X2"")"," Amiloride-sensitive_sodium_channel_subunit_alpha","1181.78","Y","23","50.51","95.01","Y","2021 05 04 13:20:47","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=54180"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_023088224.1"",""XP_023088224.1"")","55377","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=591936&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""591936"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=591936&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Piliocolobus tephrosceles"")","Ugandan red Colobus","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_023088224.1"",""amiloride-sensitive sodium channel subunit alpha"")"," Amiloride-sensitive_sodium_channel_subunit_alpha","1145.95","Y","23","50.51","92.13","Y","2021 05 04 13:20:47","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=591936"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_015356212.1"",""XP_015356212.1"")","31063","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9994&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9994"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9994&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Marmota marmota marmota"")","Alpine marmot","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_015356212.1"",""PREDICTED: amiloride-sensitive sodium channel subunit alpha"")"," Amiloride-sensitive_sodium_channel_subunit_alpha","1085.86","Y","23","50.51","87.30","Y","2021 05 04 13:20:47","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9994"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_029809617.1"",""XP_029809617.1"")","43342","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=37032&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""37032"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=37032&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Suricata suricatta"")","Meerkat","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_029809617.1"",""amiloride-sensitive sodium channel subunit alpha isoform X1"")"," Amiloride-sensitive_sodium_channel_subunit_alpha","1085.09","Y","23","50.51","87.24","Y","2021 05 04 13:20:47","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=37032"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_027976909.1"",""XP_027976909.1"")","40113","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=34886&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""34886"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=34886&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Eumetopias jubatus"")","Steller sea lion","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_027976909.1"",""amiloride-sensitive sodium channel subunit alpha isoform X3"")"," Amiloride-sensitive_sodium_channel_subunit_alpha","1084.71","Y","23","50.51","87.21","Y","2021 05 04 13:20:47","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=34886"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_020013830.1"",""XP_020013830.1"")","37572","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=51338&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""51338"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=51338&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Castor canadensis"")","American beaver","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_020013830.1"",""LOW QUALITY PROTEIN: amiloride-sensitive sodium channel subunit alpha"")"," Amiloride-sensitive_sodium_channel_subunit_alpha","1067.76","Y","23","50.51","85.85","Y","2021 05 04 13:20:47","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=51338"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_026949156.1"",""XP_026949156.1"")","54700","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=90247&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""90247"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=90247&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Lagenorhynchus obliquidens"")","Pacific white-sided dolphin","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_026949156.1"",""amiloride-sensitive sodium channel subunit alpha"")"," Amiloride-sensitive_sodium_channel_subunit_alpha","1062.37","Y","23","50.51","85.41","Y","2021 05 04 13:20:47","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=90247"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_008512148.1"",""XP_008512148.1"")","38537","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9798&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9798"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9798&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Equus przewalskii"")","Przewalski's horse","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_008512148.1"",""PREDICTED: amiloride-sensitive sodium channel subunit alpha isoform X2"")"," Amiloride-sensitive_sodium_channel_subunit_alpha","1058.90","Y","23","50.51","85.13","Y","2021 05 04 13:20:47","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9798"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_012422639.1"",""XP_012422639.1"")","31381","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9708&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9708"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9708&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Odobenus rosmarus divergens"")","Pacific walrus","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_012422639.1"",""PREDICTED: amiloride-sensitive sodium channel subunit alpha"")"," Amiloride-sensitive_sodium_channel_subunit_alpha","1052.35","Y","23","50.51","84.61","Y","2021 05 04 13:20:47","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9708"",""Explore in ECOTOX"")"
