Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P29274.2,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Adenosine receptor A2a,842.03,Y,114,26.53,100,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_003317189.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,adenosine receptor A2a,839.72,Y,114,26.53,99.73,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_024782896.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,adenosine receptor A2a,839.72,Y,114,26.53,99.73,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_009232469.2,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,adenosine receptor A2a,833.94,Y,114,26.53,99.04,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_031995324.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,LOW QUALITY PROTEIN: adenosine receptor A2a,833.56,Y,114,26.53,98.99,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,EHH65694.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,"hypothetical protein EGM_02512, partial",831.63,Y,114,26.53,98.76,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_033058581.1,63302,Mammalia,Mammalia,Trachypithecus francoisi,Francois's langur,LOW QUALITY PROTEIN: adenosine receptor A2a,831.63,Y,114,26.53,98.76,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_011781325.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: adenosine receptor A2a,829.71,Y,114,26.53,98.54,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_023053589.3,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,adenosine receptor A2a isoform X1,829.71,Y,114,26.53,98.54,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_017745285.1,49687,Mammalia,Mammalia,Rhinopithecus bieti,Black snub-nosed monkey,PREDICTED: adenosine receptor A2a,827.01,Y,114,26.53,98.22,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_010374609.1,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,adenosine receptor A2a,827.01,Y,114,26.53,98.22,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_011894065.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: adenosine receptor A2a isoform X1,826.62,Y,114,26.53,98.17,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_032112513.1,62479,Mammalia,Mammalia,Sapajus apella,Tufted capuchin,LOW QUALITY PROTEIN: adenosine receptor A2a,803.51,Y,114,26.53,95.43,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_012604767.1,59986,Mammalia,Mammalia,Microcebus murinus,Gray mouse lemur,adenosine receptor A2a,803.13,Y,114,26.53,95.38,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_019322641.1,58569,Mammalia,Mammalia,Panthera pardus,Leopard,PREDICTED: adenosine receptor A2a isoform X1,795.42,Y,114,26.53,94.46,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_025789439.1,23618,Mammalia,Mammalia,Puma concolor,Puma,adenosine receptor A2a isoform X1,793.88,Y,114,26.53,94.28,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_007092364.1,29960,Mammalia,Mammalia,Panthera tigris altaica,Amur tiger,PREDICTED: adenosine receptor A2a isoform X1,793.88,Y,114,26.53,94.28,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,VFV45560.1,31243,Mammalia,Mammalia,Lynx pardinus,Spanish lynx,adenosine receptor a2a,793.88,Y,114,26.53,94.28,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_014933087.1,56435,Mammalia,Mammalia,Acinonyx jubatus,Cheetah,adenosine receptor A2a isoform X1,793.88,Y,114,26.53,94.28,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_003994883.1,57491,Mammalia,Mammalia,Felis catus,Domestic cat,adenosine receptor A2a isoform X1,793.11,Y,114,26.53,94.19,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
5,XP_003803187.1,33085,Mammalia,Mammalia,Otolemur garnettii,Small-eared galago,adenosine receptor A2a,790.03,Y,114,26.53,93.82,Y,2021 04 05 18:28:12,Y,Explore in ECOTOX
