"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","Domain Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P14650.1"",""P14650.1"")","151095","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10116&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10116"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10116&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Rattus norvegicus"")","Norway rat","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P14650.1"",""RecName: Full=Thyroid peroxidase; Short=TPO; Flags: Precursor"")"," thyroid_peroxidase","1167.91","Y","69","47.86","100.00","Y","2021 06 14 12:12:04","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10116"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_010590185.1"",""XP_010590185.1"")","41868","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9785&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9785"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9785&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Loxodonta africana"")","African savanna elephant","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_010590185.1"",""thyroid peroxidase isoform X1"")"," thyroid_peroxidase","951.43","Y","69","47.86","81.46","Y","2021 06 14 12:12:04","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9785"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_004620043.1"",""XP_004620043.1"")","24062","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=42254&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""42254"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=42254&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Sorex araneus"")","European shrew","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_004620043.1"",""PREDICTED: thyroid peroxidase"")"," thyroid_peroxidase","933.71","Y","69","47.86","79.95","Y","2021 06 14 12:12:04","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=42254"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032980115.1"",""XP_032980115.1"")","48727","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=59479&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""59479"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=59479&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Rhinolophus ferrumequinum"")","Greater horseshoe bat","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032980115.1"",""thyroid peroxidase"")"," thyroid_peroxidase","925.62","Y","69","47.86","79.25","Y","2021 06 14 12:12:04","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=59479"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_012781642.1"",""XP_012781642.1"")","26023","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9978&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9978"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9978&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Ochotona princeps"")","American pika","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_012781642.1"",""PREDICTED: LOW QUALITY PROTEIN: thyroid peroxidase"")"," thyroid_peroxidase","905.98","Y","69","47.86","77.57","Y","2021 06 14 12:12:04","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9978"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_019376184.1"",""XP_019376184.1"")","27379","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=94835&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""94835"")","Crocodylia","Crocodylia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=94835&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Gavialis gangeticus"")","Gharial","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_019376184.1"",""PREDICTED: thyroid peroxidase"")"," thyroid_peroxidase","868.23","Y","69","47.86","74.34","Y","2021 06 14 12:12:04","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=94835"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_019393693.1"",""XP_019393693.1"")","28975","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8502&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""8502"")","Crocodylia","Crocodylia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8502&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Crocodylus porosus"")","Australian saltwater crocodile","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_019393693.1"",""PREDICTED: thyroid peroxidase, partial"")"," thyroid_peroxidase","866.68","Y","69","47.86","74.21","Y","2021 06 14 12:12:04","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=8502"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_025004664.1"",""XP_025004664.1"")","70279","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9031&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9031"")","Aves","Aves","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9031&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Gallus gallus"")","Chicken","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_025004664.1"",""thyroid peroxidase isoform X1"")"," thyroid_peroxidase","850.89","Y","69","47.86","72.86","Y","2021 06 14 12:12:04","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9031"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_010130146.1"",""XP_010130146.1"")","27261","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=175836&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""175836"")","Aves","Aves","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=175836&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Buceros rhinoceros silvestris"")","Rhinoceros hornbill","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_010130146.1"",""PREDICTED: thyroid peroxidase, partial"")"," thyroid_peroxidase","846.27","Y","69","47.86","72.46","Y","2021 06 14 12:12:04","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=175836"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_024071560.1"",""XP_024071560.1"")","34211","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2587831&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""2587831"")","Testudines","Testudines","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2587831&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Terrapene carolina triunguis"")","Three-toed box turtle","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_024071560.1"",""thyroid peroxidase"")"," thyroid_peroxidase","843.19","Y","69","47.86","72.20","Y","2021 06 14 12:12:04","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=2587831"",""Explore in ECOTOX"")"
