Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,NP_005174.2,1802968,Mammalia,Mammalia,Homo sapiens,Human,voltage-dependent L-type calcium channel subunit alpha-1F isoform 1,4084.26,Y,118,61.63,100,Y,2021 04 26 11:42:56,Y,Explore in ECOTOX
5,XP_018874854.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,voltage-dependent L-type calcium channel subunit alpha-1F isoform X1,4055.37,Y,118,61.63,99.29,Y,2021 04 26 11:42:56,Y,Explore in ECOTOX
5,XP_003807303.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,voltage-dependent L-type calcium channel subunit alpha-1F isoform X1,4050.74,Y,118,61.63,99.18,Y,2021 04 26 11:42:56,Y,Explore in ECOTOX
5,PNI11893.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,CACNA1F isoform 1,4050.74,Y,118,61.63,99.18,Y,2021 04 26 11:42:56,Y,Explore in ECOTOX
5,XP_030662423.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,voltage-dependent L-type calcium channel subunit alpha-1F isoform X1,4040.73,Y,118,61.63,98.93,Y,2021 04 26 11:42:56,Y,Explore in ECOTOX
5,XP_024096189.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,voltage-dependent L-type calcium channel subunit alpha-1F isoform X1,4040.34,Y,118,61.63,98.92,Y,2021 04 26 11:42:56,Y,Explore in ECOTOX
5,XP_032612837.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,voltage-dependent L-type calcium channel subunit alpha-1F isoform X1,4039.19,Y,118,61.63,98.9,Y,2021 04 26 11:42:56,Y,Explore in ECOTOX
5,XP_011802046.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1F isoform X1,4007.99,Y,118,61.63,98.13,Y,2021 04 26 11:42:56,Y,Explore in ECOTOX
5,XP_021523227.1,48088,Mammalia,Mammalia,Aotus nancymaae,Ma's night monkey,voltage-dependent L-type calcium channel subunit alpha-1F isoform X1,4006.06,Y,118,61.63,98.09,Y,2021 04 26 11:42:56,Y,Explore in ECOTOX
5,XP_008072840.1,33251,Mammalia,Mammalia,Carlito syrichta,Philippine tarsier,voltage-dependent L-type calcium channel subunit alpha-1F isoform X1,3925.17,Y,118,61.63,96.1,Y,2021 04 26 11:42:56,Y,Explore in ECOTOX
