Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,Q13936.4,1802968,Mammalia,Mammalia,Homo sapiens,Human,"RecName: Full=Voltage-dependent L-type calcium channel subunit alpha-1C; AltName: Full=Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle; AltName: Full=Voltage-gated calcium channel subunit alpha Cav1.2",4611.98,Y,10,89.92,100,Y,2021 02 18 16:15:21,Y,Explore in ECOTOX
5,XP_008972046.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,voltage-dependent L-type calcium channel subunit alpha-1C isoform X16,4558.44,Y,10,89.92,98.84,Y,2021 02 18 16:15:21,Y,Explore in ECOTOX
5,XP_011786416.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1C isoform X1,4557.28,Y,10,89.92,98.81,Y,2021 02 18 16:15:21,Y,Explore in ECOTOX
5,XP_013963776.1,67615,Mammalia,Mammalia,Canis lupus familiaris,Dog,voltage-dependent L-type calcium channel subunit alpha-1C isoform X14,4320,Y,10,89.92,93.67,Y,2021 02 18 16:15:21,Y,Explore in ECOTOX
5,XP_032974295.1,48727,Mammalia,Mammalia,Rhinolophus ferrumequinum,Greater horseshoe bat,voltage-dependent L-type calcium channel subunit alpha-1C isoform X1,4298.04,Y,10,89.92,93.19,Y,2021 02 18 16:15:21,Y,Explore in ECOTOX
5,XP_015859980.1,45652,Mammalia,Mammalia,Peromyscus maniculatus bairdii,Prairie deer mouse,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1C,4287.64,Y,10,89.92,92.97,Y,2021 02 18 16:15:21,Y,Explore in ECOTOX
5,XP_017655291.1,49227,Mammalia,Mammalia,Nannospalax galili,Upper Galilee mountains blind mole rat,LOW QUALITY PROTEIN: voltage-dependent L-type calcium channel subunit alpha-1C,4277.24,Y,10,89.92,92.74,Y,2021 02 18 16:15:21,Y,Explore in ECOTOX
5,XP_028736349.1,42174,Mammalia,Mammalia,Peromyscus leucopus,White-footed mouse,voltage-dependent L-type calcium channel subunit alpha-1C isoform X10,4262.22,Y,10,89.92,92.42,Y,2021 02 18 16:15:21,Y,Explore in ECOTOX
5,XP_022432865.1,50906,Mammalia,Mammalia,Delphinapterus leucas,Beluga whale,voltage-dependent L-type calcium channel subunit alpha-1C,4147.04,Y,10,89.92,89.92,Y,2021 02 18 16:15:21,Y,Explore in ECOTOX
5,XP_010843520.1,35574,Mammalia,Mammalia,Bison bison bison,American bison,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1C,3773.4,Y,10,89.92,81.82,Y,2021 02 18 16:15:21,Y,Explore in ECOTOX
