Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P31939.3,1802968,Mammalia,Mammalia,Homo sapiens,Human,"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P31939.3"",""RecName: Full=Bifunctional purine biosynthesis protein PURH; Includes: RecName: Full=Phosphoribosylaminoimidazolecarboxamide formyltransferase; AltName: Full=5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase; AltName: Full=AICAR transformylase; Includes: RecName: Full=IMP cyclohydrolase; AltName: Full=ATIC; AltName: Full=IMP synthase; AltName: Full=Inosinicase; Contains: RecName: Full=Bifunctional purine biosynthesis protein PURH, N-terminally processed"")",1227.23,Y,842,57.06,100,Y,2021 04 07 12:55:24,Y,Explore in ECOTOX
5,XP_018877398.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,bifunctional purine biosynthesis protein PURH,1227.23,Y,842,57.06,100,Y,2021 04 07 12:55:24,Y,Explore in ECOTOX
5,XP_001150761.2,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,bifunctional purine biosynthesis protein PURH isoform X2,1227.23,Y,842,57.06,100,Y,2021 04 07 12:55:24,Y,Explore in ECOTOX
5,XP_003805057.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,bifunctional purine biosynthesis protein PURH,1227.23,Y,842,57.06,100,Y,2021 04 07 12:55:24,Y,Explore in ECOTOX
5,PNJ24160.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,ATIC isoform 1,1216.06,Y,842,57.06,99.09,Y,2021 04 07 12:55:24,Y,Explore in ECOTOX
5,XP_003254092.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,bifunctional purine biosynthesis protein PURH,1216.06,Y,842,57.06,99.09,Y,2021 04 07 12:55:24,Y,Explore in ECOTOX
5,XP_005574261.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,PREDICTED: bifunctional purine biosynthesis protein PURH,1214.52,Y,842,57.06,98.96,Y,2021 04 07 12:55:24,Y,Explore in ECOTOX
5,XP_002808069.3,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,bifunctional purine biosynthesis protein PURH,1214.13,Y,842,57.06,98.93,Y,2021 04 07 12:55:24,Y,Explore in ECOTOX
5,XP_032610514.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,bifunctional purine biosynthesis protein PURH,1213.36,Y,842,57.06,98.87,Y,2021 04 07 12:55:24,Y,Explore in ECOTOX
5,XP_007964360.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: bifunctional purine biosynthesis protein PURH isoform X1,1213.36,Y,842,57.06,98.87,Y,2021 04 07 12:55:24,Y,Explore in ECOTOX
5,XP_011738817.1,68519,Mammalia,Mammalia,Macaca nemestrina,Pig-tailed macaque,bifunctional purine biosynthesis protein PURH,1212.98,Y,842,57.06,98.84,Y,2021 04 07 12:55:24,Y,Explore in ECOTOX
5,XP_025260270.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,bifunctional purine biosynthesis protein PURH,1212.59,Y,842,57.06,98.81,Y,2021 04 07 12:55:24,Y,Explore in ECOTOX
