Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,Q13315.4,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Serine-protein kinase ATM; AltName: Full=Ataxia telangiectasia mutated; Short=A-T mutated,6343.45,Y,127,9.78,100,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_030871796.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,serine-protein kinase ATM isoform X1,6309.17,Y,127,9.78,99.46,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_030684725.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,serine-protein kinase ATM isoform X2,6272.58,Y,127,9.78,98.88,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_008018942.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: serine-protein kinase ATM isoform X1,6213.64,Y,127,9.78,97.95,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,EHH56729.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,hypothetical protein EGM_06194,6212.87,Y,127,9.78,97.94,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_023063952.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,serine-protein kinase ATM isoform X1,6212.48,Y,127,9.78,97.94,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_014971094.2,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,serine-protein kinase ATM isoform X1,6210.17,Y,127,9.78,97.9,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_021782197.2,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,serine-protein kinase ATM isoform X2,6209.02,Y,127,9.78,97.88,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_011782064.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: serine-protein kinase ATM,6208.63,Y,127,9.78,97.87,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_011921883.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: serine-protein kinase ATM isoform X1,6201.7,Y,127,9.78,97.77,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_025212815.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,serine-protein kinase ATM isoform X1,6198.23,Y,127,9.78,97.71,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_011759929.1,68519,Mammalia,Mammalia,Macaca nemestrina,Pig-tailed macaque,serine-protein kinase ATM,6120.81,Y,127,9.78,96.49,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_012330003.1,48088,Mammalia,Mammalia,Aotus nancymaae,Ma's night monkey,serine-protein kinase ATM isoform X1,6048,Y,127,9.78,95.34,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_002807314.1,47726,Mammalia,Mammalia,Callithrix jacchus,White-tufted-ear marmoset,PREDICTED: LOW QUALITY PROTEIN: serine-protein kinase ATM,6010.64,Y,127,9.78,94.75,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_011840149.1,38457,Mammalia,Mammalia,Mandrillus leucophaeus,Drill,PREDICTED: serine-protein kinase ATM,5948.24,Y,127,9.78,93.77,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_020142263.1,59986,Mammalia,Mammalia,Microcebus murinus,Gray mouse lemur,LOW QUALITY PROTEIN: serine-protein kinase ATM,5824.97,Y,127,9.78,91.83,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_033266061.1,59479,Mammalia,Mammalia,Orcinus orca,Killer whale,serine-protein kinase ATM isoform X2,5800.32,Y,127,9.78,91.44,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_030692096.1,54641,Mammalia,Mammalia,Globicephala melas,Long-finned pilot whale,serine-protein kinase ATM isoform X2,5796.85,Y,127,9.78,91.38,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_022417291.1,50906,Mammalia,Mammalia,Delphinapterus leucas,Beluga whale,serine-protein kinase ATM isoform X2,5796.47,Y,127,9.78,91.38,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_029063539.1,65846,Mammalia,Mammalia,Monodon monoceros,Narwhal,serine-protein kinase ATM isoform X1,5792.23,Y,127,9.78,91.31,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_007173048.1,37624,Mammalia,Mammalia,Balaenoptera acutorostrata scammoni,Minke whale,serine-protein kinase ATM,5773.74,Y,127,9.78,91.02,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_032976336.1,48727,Mammalia,Mammalia,Rhinolophus ferrumequinum,Greater horseshoe bat,serine-protein kinase ATM isoform X1,5734.07,Y,127,9.78,90.39,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_010987273.2,86205,Mammalia,Mammalia,Camelus dromedarius,Arabian camel,serine-protein kinase ATM isoform X1,5719.81,Y,127,9.78,90.17,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_032328403.1,74403,Mammalia,Mammalia,Camelus ferus,Wild Bactrian camel,serine-protein kinase ATM isoform X2,5717.5,Y,127,9.78,90.13,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_010967575.1,29233,Mammalia,Mammalia,Camelus bactrianus,Bactrian camel,PREDICTED: serine-protein kinase ATM,5717.12,Y,127,9.78,90.13,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_006913492.1,59370,Mammalia,Mammalia,Pteropus alecto,Black flying fox,serine-protein kinase ATM isoform X1,5710.18,Y,127,9.78,90.02,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_011366453.1,43865,Mammalia,Mammalia,Pteropus vampyrus,Large flying fox,serine-protein kinase ATM isoform X1,5709.8,Y,127,9.78,90.01,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_006053406.1,60996,Mammalia,Mammalia,Bubalus bubalis,Water buffalo,serine-protein kinase ATM isoform X2,5704.79,Y,127,9.78,89.93,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_010861146.1,35574,Mammalia,Mammalia,Bison bison bison,American bison,PREDICTED: serine-protein kinase ATM isoform X2,5696.7,Y,127,9.78,89.8,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_014956385.2,51033,Mammalia,Mammalia,Ovis aries,Sheep,serine-protein kinase ATM,5693.24,Y,127,9.78,89.75,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_027786474.1,37707,Mammalia,Mammalia,Marmota flaviventris,Yellow-bellied marmot,serine-protein kinase ATM isoform X1,5692.47,Y,127,9.78,89.74,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,KAB0346759.1,25799,Mammalia,Mammalia,Muntiacus muntjak,Muntjak,hypothetical protein FD754_011616,5689,Y,127,9.78,89.68,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_027434087.1,59271,Mammalia,Mammalia,Zalophus californianus,California sea lion,serine-protein kinase ATM isoform X1,5682.06,Y,127,9.78,89.57,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_019830940.1,37725,Mammalia,Mammalia,Bos indicus,Zebu cattle,PREDICTED: serine-protein kinase ATM isoform X2,5680.91,Y,127,9.78,89.56,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_008688336.1,29099,Mammalia,Mammalia,Ursus maritimus,Polar bear,PREDICTED: serine-protein kinase ATM,5667.81,Y,127,9.78,89.35,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_026361605.1,43159,Mammalia,Mammalia,Ursus arctos horribilis,Brown bear,serine-protein kinase ATM isoform X1,5667.04,Y,127,9.78,89.34,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_013968668.1,67615,Mammalia,Mammalia,Canis lupus familiaris,Dog,serine-protein kinase ATM isoform X1,5665.12,Y,127,9.78,89.31,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_025321429.1,62990,Mammalia,Mammalia,Canis lupus dingo,Dingo,serine-protein kinase ATM isoform X1,5662.8,Y,127,9.78,89.27,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_025749631.1,46265,Mammalia,Mammalia,Callorhinus ursinus,Northern fur seal,serine-protein kinase ATM isoform X1,5658.18,Y,127,9.78,89.2,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_026254828.1,36482,Mammalia,Mammalia,Urocitellus parryii,Arctic ground squirrel,serine-protein kinase ATM,5657.8,Y,127,9.78,89.19,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_019665391.1,73097,Mammalia,Mammalia,Ailuropoda melanoleuca,Giant panda,serine-protein kinase ATM isoform X1,5655.1,Y,127,9.78,89.15,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_032694203.1,48403,Mammalia,Mammalia,Lontra canadensis,Northern American river otter,serine-protein kinase ATM,5652.79,Y,127,9.78,89.11,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_012385439.1,38736,Mammalia,Mammalia,Dasypus novemcinctus,Nine-banded armadillo,serine-protein kinase ATM,5652.79,Y,127,9.78,89.11,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
5,XP_023371828.1,33085,Mammalia,Mammalia,Otolemur garnettii,Small-eared galago,serine-protein kinase ATM,5645.09,Y,127,9.78,88.99,Y,2021 06 23 12:18:38,Y,Explore in ECOTOX
