Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,Q16134.2,1802968,Mammalia,Mammalia,Homo sapiens,Human,"RecName: Full=Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial; Short=ETF-QO; Short=ETF-ubiquinone oxidoreductase; AltName: Full=Electron-transferring-flavoprotein dehydrogenase; Short=ETF dehydrogenase; Flags: Precursor",1281.54,Y,834,60.26,100,Y,2021 04 05 19:05:50,Y,Explore in ECOTOX
5,XP_018881121.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,"electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",1279.62,Y,834,60.26,99.85,Y,2021 04 05 19:05:50,Y,Explore in ECOTOX
5,XP_024212117.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,"electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial isoform X1",1278.08,Y,834,60.26,99.73,Y,2021 04 05 19:05:50,Y,Explore in ECOTOX
5,XP_032002485.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,"electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial isoform X1",1277.31,Y,834,60.26,99.67,Y,2021 04 05 19:05:50,Y,Explore in ECOTOX
5,XP_003257954.2,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,"electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial isoform X1",1277.31,Y,834,60.26,99.67,Y,2021 04 05 19:05:50,Y,Explore in ECOTOX
5,PNJ63183.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,ETFDH isoform 1,1276.15,Y,834,60.26,99.58,Y,2021 04 05 19:05:50,Y,Explore in ECOTOX
5,XP_003899365.3,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,"electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial isoform X1",1276.15,Y,834,60.26,99.58,Y,2021 04 05 19:05:50,Y,Explore in ECOTOX
5,XP_003822584.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,"electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial isoform X1",1276.15,Y,834,60.26,99.58,Y,2021 04 05 19:05:50,Y,Explore in ECOTOX
5,XP_011815092.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,"PREDICTED: electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial isoform X1",1274.23,Y,834,60.26,99.43,Y,2021 04 05 19:05:50,Y,Explore in ECOTOX
5,XP_023084016.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,"electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial isoform X1",1273.46,Y,834,60.26,99.37,Y,2021 04 05 19:05:50,Y,Explore in ECOTOX
