Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P09252.1,77,Herviviricetes,Herviviricetes,Human herpesvirus 3 strain Dumas,Varicella-zoster virus,RecName: Full=DNA polymerase catalytic subunit,2479.52,Y,1,100,100,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,NP_040151.1,2953,Herviviricetes,Herviviricetes,Human alphaherpesvirus 3,Varicella-zoster virus,DNA polymerase catalytic subunit,2479.52,Y,1,100,100,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,Q4JQU7.1,64,Herviviricetes,Herviviricetes,Human herpesvirus 3 strain Oka vaccine,Varicella-zoster virus,RecName: Full=DNA polymerase catalytic subunit,2469.5,N,1,100,99.6,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,NP_077443.1,165,Herviviricetes,Herviviricetes,Cercopithecine alphaherpesvirus 9,Simian varicella virus,DNA polymerase catalytic subunit,1593.17,N,1,100,64.25,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,QBN85151.1,93,Herviviricetes,Herviviricetes,Phocid alphaherpesvirus 1,Alphaherpesviruses,DNA polymerase catalytic subunit-like protein,1436.78,N,1,100,57.95,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,AOS50780.1,208,Herviviricetes,Herviviricetes,Equid alphaherpesvirus 9,Alphaherpesviruses,"DNA polymerase, partial",1421.76,N,1,100,57.34,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,ALJ84060.1,739,Herviviricetes,Herviviricetes,Felid alphaherpesvirus 1,Alphaherpesviruses,DNA polymerase catalytic subunit,1420.6,N,1,100,57.29,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,AHN10497.1,2665,Herviviricetes,Herviviricetes,Equid alphaherpesvirus 1,Equine herpesvirus 1,DNA polymerase catalytic subunit,1420.22,N,1,100,57.28,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,AGZ94834.1,1029,Herviviricetes,Herviviricetes,Equid alphaherpesvirus 4,Equine herpesvirus 4,DNA polymerase catalytic subunit,1419.06,N,1,100,57.23,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,AMN88960.1,116624,Synthetic construct,synthetic construct,synthetic construct,Other sequences,DNA polymerase catalytic subunit,1419.06,N,1,100,57.23,N,2021 04 05 18:30:42,N,Explore in ECOTOX
5,AUS94763.1,473,Herviviricetes,Herviviricetes,Equid alphaherpesvirus 8,Alphaherpesviruses,DNA polymerase catalytic subunit,1418.29,N,1,100,57.2,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,P28858.1,75,Herviviricetes,Herviviricetes,Equine herpesvirus type 1 (strain AB4P),Equine herpesvirus 1,RecName: Full=DNA polymerase catalytic subunit,1417.14,N,1,100,57.15,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,Q6S6P1.1,47,Herviviricetes,Herviviricetes,Equine herpesvirus 1 (strain V592),Equine herpesvirus 1,RecName: Full=DNA polymerase catalytic subunit,1413.28,N,1,100,57,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,SCL76940.1,258,Herviviricetes,Herviviricetes,Sphenicid alphaherpesvirus 1,Alphaherpesviruses,DNA polymerase catalytic subunit,1403.27,N,1,100,56.59,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,YP_009054933.1,191,Herviviricetes,Herviviricetes,Equid alphaherpesvirus 3,Alphaherpesviruses,DNA polymerase catalytic subunit,1393.25,N,1,100,56.19,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,ALL25984.1,563,Herviviricetes,Herviviricetes,Canid alphaherpesvirus 1,Alphaherpesviruses,DNA polymerase catalytic subunit,1378.23,N,1,100,55.58,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,AAT79466.1,13,Herviviricetes,Herviviricetes,Vulture herpesvirus,Alphaherpesviruses,DNA polymerase,1369.37,N,1,100,55.23,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,YP_003084391.1,703,Herviviricetes,Herviviricetes,Anatid alphaherpesvirus 1,Alphaherpesviruses,UL30,1328.54,N,1,100,53.58,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,AHD45951.1,75,BAC cloning vector pDEV-vac,BAC cloning vector pDEV-vac,BAC cloning vector pDEV-vac,Other sequences,UL30,1328.54,N,1,100,53.58,N,2021 04 05 18:30:42,N,Explore in ECOTOX
5,YP_009352938.1,285,Herviviricetes,Herviviricetes,Columbid alphaherpesvirus 1,Alphaherpesviruses,DNA polymerase catalytic subunit,1328.15,N,1,100,53.56,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,YP_009046528.1,260,Herviviricetes,Herviviricetes,Falconid herpesvirus 1,Alphaherpesviruses,DNA polymerase catalytic subunit,1327.38,N,1,100,53.53,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,ASW27076.1,100,Herviviricetes,Herviviricetes,Beluga whale alphaherpesvirus 1,Alphaherpesviruses,DNA polymerase catalytic subunit,1324.3,N,1,100,53.41,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,BBM13202.1,72,Herviviricetes,Herviviricetes,Pteropus lylei-associated alphaherpesvirus,Alphaherpesviruses,DNA polymerase catalytic subunit,1303.12,N,1,100,52.56,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,YP_009042092.1,140,Herviviricetes,Herviviricetes,Fruit bat alphaherpesvirus 1,Alphaherpesviruses,DNA polymerase catalytic subunit,1301.19,N,1,100,52.48,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,ABI63492.1,12695,Herviviricetes,Herviviricetes,Human alphaherpesvirus 1,Herpes simplex virus type 1,UL30,1291.56,N,1,100,52.09,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,NP_954917.1,418,Herviviricetes,Herviviricetes,Bovine alphaherpesvirus 5,Alphaherpesviruses,"UL30 DNA polymerase, catalytic subunit",1291.17,N,1,100,52.07,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
5,BAM73380.1,83,Herviviricetes,Herviviricetes,Human alphaherpesvirus 1 strain RH2,Herpes simplex virus type 1,DNA polymerase catalytic subunit,1290.02,N,1,100,52.03,Y,2021 04 05 18:30:42,N,Explore in ECOTOX
