Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,O00555.3,1802968,Mammalia,Mammalia,Homo sapiens,Human,"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/O00555.3"",""RecName: Full=Voltage-dependent P/Q-type calcium channel subunit alpha-1A; AltName: Full=Brain calcium channel I; Short=BI; AltName: Full=Calcium channel, L type, alpha-1 polypeptide isoform 4; AltName: Full=Voltage-gated calcium channel subunit alpha Cav2.1"")",5226.37,Y,36,87.36,100,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_016790744.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X20,5198.25,Y,36,87.36,99.46,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_030859904.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,LOW QUALITY PROTEIN: voltage-dependent P/Q-type calcium channel subunit alpha-1A,5180.92,Y,36,87.36,99.13,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_030676518.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X17,5173.22,Y,36,87.36,98.98,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_025222724.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X3,5158.96,Y,36,87.36,98.71,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_011949480.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X2,5157.42,Y,36,87.36,98.68,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_031515701.1,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X10,5157.42,Y,36,87.36,98.68,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_023044535.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X1,5157.42,Y,36,87.36,98.68,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_030791728.1,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X1,5155.11,Y,36,87.36,98.64,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_028695146.1,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X10,5153.96,Y,36,87.36,98.61,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_011708912.1,68519,Mammalia,Mammalia,Macaca nemestrina,Pig-tailed macaque,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X15,5153.57,Y,36,87.36,98.61,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_017353162.1,53173,Mammalia,Mammalia,Cebus capucinus imitator,White-faced sapajou,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X2,5100.8,Y,36,87.36,97.6,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_032025793.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X5,5079.23,Y,36,87.36,97.18,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_003797953.1,33085,Mammalia,Mammalia,Otolemur garnettii,Small-eared galago,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X1,5028.77,Y,36,87.36,96.22,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_021560911.1,28446,Mammalia,Mammalia,Neomonachus schauinslandi,Hawaiian monk seal,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X1,5027.61,Y,36,87.36,96.2,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_025719055.1,46265,Mammalia,Mammalia,Callorhinus ursinus,Northern fur seal,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X2,5024.91,Y,36,87.36,96.15,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_032321378.1,74403,Mammalia,Mammalia,Camelus ferus,Wild Bactrian camel,voltage-dependent P/Q-type calcium channel subunit alpha-1A,5023.37,Y,36,87.36,96.12,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_032251986.1,45571,Mammalia,Mammalia,Phoca vitulina,Harbor seal,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X5,5020.29,Y,36,87.36,96.06,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_004399021.1,31381,Mammalia,Mammalia,Odobenus rosmarus divergens,Pacific walrus,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X2,5013.74,Y,36,87.36,95.93,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_022414427.1,50906,Mammalia,Mammalia,Delphinapterus leucas,Beluga whale,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X17,5009.51,Y,36,87.36,95.85,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_004277487.1,59479,Mammalia,Mammalia,Orcinus orca,Killer whale,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X6,5007.58,Y,36,87.36,95.81,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_027944671.1,40113,Mammalia,Mammalia,Eumetopias jubatus,Steller sea lion,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X2,5007.2,Y,36,87.36,95.81,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_027442163.1,59271,Mammalia,Mammalia,Zalophus californianus,California sea lion,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X5,5007.2,Y,36,87.36,95.81,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_012496953.1,28331,Mammalia,Mammalia,Propithecus coquereli,Coquerel's sifaka,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X1,4998.34,Y,36,87.36,95.64,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_019519693.1,46123,Mammalia,Mammalia,Hipposideros armiger,Great roundleaf bat,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X9,4994.87,Y,36,87.36,95.57,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_026343906.1,43159,Mammalia,Mammalia,Ursus arctos horribilis,Brown bear,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X3,4986.39,Y,36,87.36,95.41,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_032989663.1,48727,Mammalia,Mammalia,Rhinolophus ferrumequinum,Greater horseshoe bat,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X9,4982.93,Y,36,87.36,95.34,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_030157640.1,42103,Mammalia,Mammalia,Lynx canadensis,Canada lynx,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X3,4978.31,Y,36,87.36,95.25,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_029072601.1,65846,Mammalia,Mammalia,Monodon monoceros,Narwhal,voltage-dependent P/Q-type calcium channel subunit alpha-1A,4974.07,Y,36,87.36,95.17,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_026906088.1,56435,Mammalia,Mammalia,Acinonyx jubatus,Cheetah,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X10,4968.68,Y,36,87.36,95.07,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_016017548.1,49042,Mammalia,Mammalia,Rousettus aegyptiacus,Egyptian rousette,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X10,4943.25,Y,36,87.36,94.58,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_023990122.1,51261,Mammalia,Mammalia,Physeter catodon,Sperm whale,voltage-dependent P/Q-type calcium channel subunit alpha-1A,4905.5,Y,36,87.36,93.86,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_024623142.1,38185,Mammalia,Mammalia,Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X1,4565.76,Y,36,87.36,87.36,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_019744166.1,42020,Actinopteri,Actinopteri,Hippocampus comes,Tiger tail seahorse,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A-like isoform X23,2996.07,Y,36,87.36,57.33,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_031545646.1,44301,Mammalia,Mammalia,Vicugna pacos,Alpaca,LOW QUALITY PROTEIN: voltage-dependent P/Q-type calcium channel subunit alpha-1A,2641.68,Y,36,87.36,50.55,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_021411952.1,124308,Actinopteri,Actinopteri,Oncorhynchus mykiss,Rainbow trout,"voltage-dependent P/Q-type calcium channel subunit alpha-1A-like, partial",1727.99,Y,36,87.36,33.06,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_030878232.1,40460,Mammalia,Mammalia,Leptonychotes weddellii,Weddell seal,"voltage-dependent P/Q-type calcium channel subunit alpha-1A, partial",1179.47,Y,36,87.36,22.57,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_024093646.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,LOW QUALITY PROTEIN: voltage-dependent P/Q-type calcium channel subunit alpha-1A,5154.34,N,36,87.36,98.62,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_020939369.1,81816,Mammalia,Mammalia,Sus scrofa,Pig,LOW QUALITY PROTEIN: voltage-dependent P/Q-type calcium channel subunit alpha-1A,5004.11,N,36,87.36,95.75,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_032121773.1,62479,Mammalia,Mammalia,Sapajus apella,Tufted capuchin,voltage-dependent P/Q-type calcium channel subunit alpha-1A,4992.94,N,36,87.36,95.53,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_032483696.1,52297,Mammalia,Mammalia,Phocoena sinus,Vaquita,voltage-dependent P/Q-type calcium channel subunit alpha-1A,4991.02,N,36,87.36,95.5,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_012584400.1,29269,Mammalia,Mammalia,Condylura cristata,Star-nosed mole,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A,4952.5,N,36,87.36,94.76,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_015295688.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,"PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A, partial",4805.35,N,36,87.36,91.94,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,DAA28081.1,133369,Mammalia,Mammalia,Bos taurus,Cattle,"TPA: calcium channel, alpha 1A subunit",4772.99,N,36,87.36,91.33,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_017750537.1,49687,Mammalia,Mammalia,Rhinopithecus bieti,Black snub-nosed monkey,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A,4638.94,N,36,87.36,88.76,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_024412653.1,30697,Mammalia,Mammalia,Desmodus rotundus,Common vampire bat,voltage-dependent P/Q-type calcium channel subunit alpha-1A,4586.94,N,36,87.36,87.77,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_027403757.1,54423,Mammalia,Mammalia,Bos indicus x Bos taurus,Hybrid cattle,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X12,4574.62,N,36,87.36,87.53,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_007469180.1,27194,Mammalia,Mammalia,Lipotes vexillifer,Yangtze River dolphin,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A,4567.3,N,36,87.36,87.39,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_017906726.1,46853,Mammalia,Mammalia,Capra hircus,Goat,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X16,4545.34,N,36,87.36,86.97,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_032691754.1,48403,Mammalia,Mammalia,Lontra canadensis,Northern American river otter,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X17,4544.96,N,36,87.36,86.96,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_032168869.1,60642,Mammalia,Mammalia,Mustela erminea,Ermine,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X21,4521.46,N,36,87.36,86.51,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_028375441.1,33129,Mammalia,Mammalia,Phyllostomus discolor,Pale spear-nosed bat,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X1,4508.75,N,36,87.36,86.27,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_006874371.1,25292,Mammalia,Mammalia,Chrysochloris asiatica,Cape golden mole,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A,4508.36,N,36,87.36,86.26,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_007952567.1,25532,Mammalia,Mammalia,Orycteropus afer afer,Aardvark,PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X2,4448.66,N,36,87.36,85.12,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_022382741.1,36593,Mammalia,Mammalia,Enhydra lutris kenyoni,Sea otter,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X1,4442.88,N,36,87.36,85.01,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
5,XP_027825325.1,51033,Mammalia,Mammalia,Ovis aries,Sheep,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X5,4434.02,N,36,87.36,84.84,Y,2021 04 05 19:53:35,Y,Explore in ECOTOX
