Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P07550.3,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Beta-2 adrenergic receptor; AltName: Full=Beta-2 adrenoreceptor; Short=Beta-2 adrenoceptor,862.06,Y,147,51.56,100,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,XP_004042829.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,beta-2 adrenergic receptor,862.06,Y,147,51.56,100,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,XP_003829101.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,beta-2 adrenergic receptor,862.06,Y,147,51.56,100,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,NP_001182193.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,beta-2 adrenergic receptor,858.21,Y,147,51.56,99.55,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,XP_003266409.3,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,beta-2 adrenergic receptor,850.51,Y,147,51.56,98.66,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,XP_032014193.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,beta-2 adrenergic receptor,848.2,Y,147,51.56,98.39,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,XP_003776739.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,beta-2 adrenergic receptor,845.11,Y,147,51.56,98.03,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,NP_001274214.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,beta-2 adrenergic receptor,842.42,Y,147,51.56,97.72,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,NP_001036239.1,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,beta-2 adrenergic receptor,842.42,Y,147,51.56,97.72,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,XP_011840783.1,38457,Mammalia,Mammalia,Mandrillus leucophaeus,Drill,PREDICTED: beta-2 adrenergic receptor,840.49,Y,147,51.56,97.5,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,XP_011924100.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: beta-2 adrenergic receptor,840.49,Y,147,51.56,97.5,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,XP_003900383.2,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,beta-2 adrenergic receptor,840.49,Y,147,51.56,97.5,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,XP_025243890.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,beta-2 adrenergic receptor,840.49,Y,147,51.56,97.5,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,XP_011786910.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: beta-2 adrenergic receptor,839.34,Y,147,51.56,97.36,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,XP_023082713.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,beta-2 adrenergic receptor,839.34,Y,147,51.56,97.36,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
5,XP_017731327.1,49687,Mammalia,Mammalia,Rhinopithecus bieti,Black snub-nosed monkey,PREDICTED: beta-2 adrenergic receptor,836.64,Y,147,51.56,97.05,Y,2020 08 31 12:23:36,Y,Explore in ECOTOX
