"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","Domain Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P03176.4"",""P03176.4"")","468","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10299&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10299"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10299&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Human alphaherpesvirus 1 strain 17"")","Herpes simplex virus type 1","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P03176.4"",""RecName: Full=Thymidine kinase"")"," PHA03133","767.30","Y","63","49.40","100.00","Y","2021 05 04 15:00:58","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10299"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/pir|KIBET|"",""pir|KIBET|"")","12695","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10298&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10298"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10298&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Human alphaherpesvirus 1"")","Herpes simplex virus type 1","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/pir|KIBET|"",""thymidine kinase (EC 2.7.1.21) - human herpesvirus 1"")"," PHA03133","761.52","Y","63","49.40","99.25","Y","2021 05 04 15:00:58","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10298"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ACC91761.1"",""ACC91761.1"")","5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=512281&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""512281"")","Not Found","Cloning vector pWSTK2","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=512281&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Cloning vector pWSTK2"")","Other sequences","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ACC91761.1"",""thymidine kinase"")"," PHA03133","761.52","Y","63","49.40","99.25","Y","2021 05 04 15:00:58","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=512281"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ACC91765.1"",""ACC91765.1"")","4","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=512282&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""512282"")","Not Found","Cloning vector pWSTK3","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=512282&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Cloning vector pWSTK3"")","Other sequences","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ACC91765.1"",""thymidine kinase"")"," PHA03133","761.52","Y","63","49.40","99.25","Y","2021 05 04 15:00:58","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=512282"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ACC91769.1"",""ACC91769.1"")","4","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=512283&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""512283"")","Not Found","Cloning vector pWSTK6","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=512283&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Cloning vector pWSTK6"")","Other sequences","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ACC91769.1"",""thymidine kinase"")"," PHA03133","761.52","Y","63","49.40","99.25","Y","2021 05 04 15:00:58","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=512283"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/QEU52523.1"",""QEU52523.1"")","239","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2021202&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""2021202"")","Not Found","synthetic human alphaherpesvirus 1","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2021202&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""synthetic human alphaherpesvirus 1"")","Other sequences","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/QEU52523.1"",""thymidine kinase"")"," PHA03133","757.67","Y","63","49.40","98.74","Y","2021 05 04 15:00:58","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=2021202"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/BAM73372.1"",""BAM73372.1"")","83","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=946522&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""946522"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=946522&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Human alphaherpesvirus 1 strain RH2"")","Herpes simplex virus type 1","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/BAM73372.1"",""thymidine kinase"")"," PHA03133","754.59","Y","63","49.40","98.34","Y","2021 05 04 15:00:58","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=946522"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P06479.1"",""P06479.1"")","2","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10309&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""10309"")","Herviviricetes","Herviviricetes","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10309&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Human alphaherpesvirus 1 strain SC16"")","Herpes simplex virus type 1","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P06479.1"",""RecName: Full=Thymidine kinase"")"," PHA03133","754.21","Y","63","49.40","98.29","Y","2021 05 04 15:00:58","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=10309"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ADV71604.1"",""ADV71604.1"")","3","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=946237&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""946237"")","Not Found","Cloning vector pBAC-FB","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=946237&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Cloning vector pBAC-FB"")","Other sequences","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ADV71604.1"",""HSV thymidine kinase"")"," PHA03133","754.21","Y","63","49.40","98.29","Y","2021 05 04 15:00:58","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=946237"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ADV71607.1"",""ADV71607.1"")","2","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=946238&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""946238"")","Not Found","Cloning vector pBAC-FC","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=946238&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Cloning vector pBAC-FC"")","Other sequences","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/ADV71607.1"",""HSV thymidine kinase"")"," PHA03133","754.21","Y","63","49.40","98.29","Y","2021 05 04 15:00:58","N","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=946238"",""Explore in ECOTOX"")"
