Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P00533.2,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Epidermal growth factor receptor; AltName: Full=Proto-oncogene c-ErbB-1; AltName: Full=Receptor tyrosine-protein kinase erbB-1; Flags: Precursor,2523.43,Y,302,32.64,100,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_519102.3,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,epidermal growth factor receptor isoform X1,2518.81,Y,302,32.64,99.82,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_030868665.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,epidermal growth factor receptor isoform X1,2517.27,Y,302,32.64,99.76,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_005549616.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,PREDICTED: epidermal growth factor receptor isoform X1,2508.79,Y,302,32.64,99.42,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_007979471.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: epidermal growth factor receptor,2508.79,Y,302,32.64,99.42,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_014988922.2,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,epidermal growth factor receptor isoform X1,2508.79,Y,302,32.64,99.42,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_025233944.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,epidermal growth factor receptor isoform X1,2508.41,Y,302,32.64,99.4,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_003896012.1,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,epidermal growth factor receptor isoform X1,2508.41,Y,302,32.64,99.4,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_011920795.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: epidermal growth factor receptor isoform X2,2508.41,Y,302,32.64,99.4,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_011758798.1,68519,Mammalia,Mammalia,Macaca nemestrina,Pig-tailed macaque,epidermal growth factor receptor isoform X1,2507.64,Y,302,32.64,99.37,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_023087807.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,epidermal growth factor receptor isoform X1,2507.25,Y,302,32.64,99.36,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_024105212.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,epidermal growth factor receptor isoform X1,2505.32,Y,302,32.64,99.28,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_017717628.1,49687,Mammalia,Mammalia,Rhinopithecus bieti,Black snub-nosed monkey,PREDICTED: epidermal growth factor receptor isoform X1,2504.17,Y,302,32.64,99.24,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_010378850.1,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,LOW QUALITY PROTEIN: epidermal growth factor receptor,2504.17,Y,302,32.64,99.24,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_030651630.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,epidermal growth factor receptor isoform X1,2503.4,Y,302,32.64,99.21,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_033050392.1,63302,Mammalia,Mammalia,Trachypithecus francoisi,Francois's langur,epidermal growth factor receptor isoform X1,2503.4,Y,302,32.64,99.21,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_008967087.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,epidermal growth factor receptor isoform X1,2412.11,Y,302,32.64,95.59,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_011822163.1,38457,Mammalia,Mammalia,Mandrillus leucophaeus,Drill,PREDICTED: epidermal growth factor receptor,2403.25,Y,302,32.64,95.24,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_011781089.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: epidermal growth factor receptor,2400.55,Y,302,32.64,95.13,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_032613916.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,epidermal growth factor receptor,2394.77,Y,302,32.64,94.9,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_020030883.1,37572,Mammalia,Mammalia,Castor canadensis,American beaver,epidermal growth factor receptor isoform X1,2345.85,Y,302,32.64,92.96,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,AKZ42272.1,507,Mammalia,Mammalia,Castor fiber,Eurasian beaver,epidermal growth factor receptor,2341.61,Y,302,32.64,92.79,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_010585451.1,41868,Mammalia,Mammalia,Loxodonta africana,African savanna elephant,epidermal growth factor receptor isoform X1,2323.12,Y,302,32.64,92.06,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_026268000.1,36482,Mammalia,Mammalia,Urocitellus parryii,Arctic ground squirrel,epidermal growth factor receptor,2313.49,Y,302,32.64,91.68,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_012504239.1,28331,Mammalia,Mammalia,Propithecus coquereli,Coquerel's sifaka,PREDICTED: epidermal growth factor receptor isoform X3,2310.03,Y,302,32.64,91.54,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_032100071.1,62479,Mammalia,Mammalia,Sapajus apella,Tufted capuchin,epidermal growth factor receptor isoform X2,2298.47,Y,302,32.64,91.09,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_017371912.1,53173,Mammalia,Mammalia,Cebus capucinus imitator,White-faced sapajou,PREDICTED: epidermal growth factor receptor,2297.7,Y,302,32.64,91.05,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_012969065.1,38204,Mammalia,Mammalia,Mesocricetus auratus,Golden hamster,epidermal growth factor receptor isoform X1,2294.23,Y,302,32.64,90.92,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_017830696.1,47726,Mammalia,Mammalia,Callithrix jacchus,White-tufted-ear marmoset,PREDICTED: epidermal growth factor receptor,2293.46,Y,302,32.64,90.89,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_027243884.1,162753,Mammalia,Mammalia,Cricetulus griseus,Chinese hamster,epidermal growth factor receptor isoform X1,2292.31,Y,302,32.64,90.84,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_023494835.1,67727,Mammalia,Mammalia,Equus caballus,Horse,epidermal growth factor receptor isoform X1,2288.07,Y,302,32.64,90.67,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_019306584.1,58569,Mammalia,Mammalia,Panthera pardus,Leopard,PREDICTED: epidermal growth factor receptor isoform X1,2280.75,Y,302,32.64,90.38,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_015345596.1,31063,Mammalia,Mammalia,Marmota marmota marmota,Alpine marmot,PREDICTED: LOW QUALITY PROTEIN: epidermal growth factor receptor,2279.21,Y,302,32.64,90.32,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_026901766.1,56435,Mammalia,Mammalia,Acinonyx jubatus,Cheetah,epidermal growth factor receptor,2278.83,Y,302,32.64,90.31,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_012423491.1,31381,Mammalia,Mammalia,Odobenus rosmarus divergens,Pacific walrus,PREDICTED: epidermal growth factor receptor isoform X1,2278.83,Y,302,32.64,90.31,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_025779072.1,23618,Mammalia,Mammalia,Puma concolor,Puma,epidermal growth factor receptor,2278.44,Y,302,32.64,90.29,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_030163546.1,42103,Mammalia,Mammalia,Lynx canadensis,Canada lynx,epidermal growth factor receptor isoform X1,2278.44,Y,302,32.64,90.29,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_006929148.1,57491,Mammalia,Mammalia,Felis catus,Domestic cat,epidermal growth factor receptor isoform X1,2278.44,Y,302,32.64,90.29,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_012631046.1,59986,Mammalia,Mammalia,Microcebus murinus,Gray mouse lemur,epidermal growth factor receptor isoform X4,2278.44,Y,302,32.64,90.29,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_013208961.1,37992,Mammalia,Mammalia,Microtus ochrogaster,Prairie vole,epidermal growth factor receptor isoform X1,2275.74,Y,302,32.64,90.18,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
5,XP_006148980.1,59499,Mammalia,Mammalia,Tupaia chinensis,Chinese tree shrew,epidermal growth factor receptor,2275.36,Y,302,32.64,90.17,Y,2021 06 15 15:06:16,Y,Explore in ECOTOX
