Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,Q01668.2,1802968,Mammalia,Mammalia,Homo sapiens,Human,"RecName: Full=Voltage-dependent L-type calcium channel subunit alpha-1D; AltName: Full=Calcium channel, L type, alpha-1 polypeptide, isoform 2; AltName: Full=Voltage-gated calcium channel subunit alpha Cav1.3",4507.98,Y,179,56.28,100,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_016796790.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,voltage-dependent L-type calcium channel subunit alpha-1D isoform X16,4504.51,Y,179,56.28,99.92,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_024100483.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,voltage-dependent L-type calcium channel subunit alpha-1D isoform X2,4504.51,Y,179,56.28,99.92,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_003818777.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,voltage-dependent L-type calcium channel subunit alpha-1D isoform X1,4501.04,Y,179,56.28,99.85,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_011802672.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1D isoform X2,4492.18,Y,179,56.28,99.65,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_010374491.1,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,voltage-dependent L-type calcium channel subunit alpha-1D isoform X2,4491.8,Y,179,56.28,99.64,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_032017163.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,voltage-dependent L-type calcium channel subunit alpha-1D isoform X5,4491.03,Y,179,56.28,99.62,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_030667459.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,voltage-dependent L-type calcium channel subunit alpha-1D isoform X4,4491.03,Y,179,56.28,99.62,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_011914902.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1D isoform X11,4490.26,Y,179,56.28,99.61,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_025231264.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,voltage-dependent L-type calcium channel subunit alpha-1D isoform X2,4490.26,Y,179,56.28,99.61,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_011841570.1,38457,Mammalia,Mammalia,Mandrillus leucophaeus,Drill,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1D isoform X2,4489.87,Y,179,56.28,99.6,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_021790008.2,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,voltage-dependent L-type calcium channel subunit alpha-1D isoform X10,4488.72,Y,179,56.28,99.57,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_023045323.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,voltage-dependent L-type calcium channel subunit alpha-1D isoform X2,4488.72,Y,179,56.28,99.57,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_028700081.1,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,voltage-dependent L-type calcium channel subunit alpha-1D isoform X12,4487.18,Y,179,56.28,99.54,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_005547453.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1D isoform X12,4487.18,Y,179,56.28,99.54,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_033066026.1,63302,Mammalia,Mammalia,Trachypithecus francoisi,Francois's langur,voltage-dependent L-type calcium channel subunit alpha-1D isoform X2,4486.79,Y,179,56.28,99.53,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_011737961.1,68519,Mammalia,Mammalia,Macaca nemestrina,Pig-tailed macaque,voltage-dependent L-type calcium channel subunit alpha-1D isoform X12,4486.41,Y,179,56.28,99.52,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_007982790.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1D isoform X20,4484.86,Y,179,56.28,99.49,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_012316163.1,48088,Mammalia,Mammalia,Aotus nancymaae,Ma's night monkey,voltage-dependent L-type calcium channel subunit alpha-1D isoform X11,4471,Y,179,56.28,99.18,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_002758479.1,47726,Mammalia,Mammalia,Callithrix jacchus,White-tufted-ear marmoset,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1D isoform X13,4470.61,Y,179,56.28,99.17,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_003936609.1,36294,Mammalia,Mammalia,Saimiri boliviensis boliviensis,Bolivian squirrel monkey,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1D isoform X1,4467.92,Y,179,56.28,99.11,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_017384593.1,53173,Mammalia,Mammalia,Cebus capucinus imitator,White-faced sapajou,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1D isoform X2,4467.92,Y,179,56.28,99.11,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_032146105.1,62479,Mammalia,Mammalia,Sapajus apella,Tufted capuchin,voltage-dependent L-type calcium channel subunit alpha-1D isoform X5,4466.37,Y,179,56.28,99.08,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_014682567.1,42730,Mammalia,Mammalia,Equus asinus,Ass,PREDICTED: voltage-dependent L-type calcium channel subunit alpha-1D isoform X2,4434.79,Y,179,56.28,98.38,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_023476041.1,67727,Mammalia,Mammalia,Equus caballus,Horse,voltage-dependent L-type calcium channel subunit alpha-1D isoform X11,4434.79,Y,179,56.28,98.38,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
5,XP_003789438.1,33085,Mammalia,Mammalia,Otolemur garnettii,Small-eared galago,voltage-dependent L-type calcium channel subunit alpha-1D isoform X2,4434.79,Y,179,56.28,98.38,Y,2021 04 05 19:16:24,Y,Explore in ECOTOX
