Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P18825.2,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Alpha-2C adrenergic receptor; AltName: Full=Alpha-2 adrenergic receptor subtype C4; AltName: Full=Alpha-2C adrenoreceptor; Short=Alpha-2C adrenoceptor; Short=Alpha-2CAR,919.84,Y,23,61.89,100,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_004038408.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,alpha-2C adrenergic receptor,919.84,Y,23,61.89,100,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_003279053.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,alpha-2C adrenergic receptor,919.84,Y,23,61.89,100,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_003780454.3,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,alpha-2C adrenergic receptor,918.69,Y,23,61.89,99.87,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_009445562.2,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,alpha-2C adrenergic receptor,911.37,Y,23,61.89,99.08,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_033069483.1,63302,Mammalia,Mammalia,Trachypithecus francoisi,Francois's langur,alpha-2C adrenergic receptor,901.35,Y,23,61.89,97.99,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_010382711.2,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,alpha-2C adrenergic receptor,900.2,Y,23,61.89,97.86,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_023062595.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,alpha-2C adrenergic receptor,894.42,Y,23,61.89,97.24,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_015305476.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,PREDICTED: alpha-2C adrenergic receptor,808.52,Y,23,61.89,87.9,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_032961303.1,48727,Mammalia,Mammalia,Rhinolophus ferrumequinum,Greater horseshoe bat,alpha-2C adrenergic receptor,695.27,Y,23,61.89,75.59,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_005068914.1,38204,Mammalia,Mammalia,Mesocricetus auratus,Golden hamster,alpha-2C adrenergic receptor,690.26,Y,23,61.89,75.04,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_012600252.2,59986,Mammalia,Mammalia,Microcebus murinus,Gray mouse lemur,alpha-2C adrenergic receptor,684.1,Y,23,61.89,74.37,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_023374525.1,33085,Mammalia,Mammalia,Otolemur garnettii,Small-eared galago,alpha-2C adrenergic receptor,684.1,Y,23,61.89,74.37,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_024600850.1,38185,Mammalia,Mammalia,Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise,alpha-2C adrenergic receptor,677.94,Y,23,61.89,73.7,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_022362008.1,36593,Mammalia,Mammalia,Enhydra lutris kenyoni,Sea otter,alpha-2C adrenergic receptor,664.46,Y,23,61.89,72.24,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_032189591.1,60642,Mammalia,Mammalia,Mustela erminea,Ermine,alpha-2C adrenergic receptor,664.46,Y,23,61.89,72.24,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_026341646.1,43159,Mammalia,Mammalia,Ursus arctos horribilis,Brown bear,alpha-2C adrenergic receptor,660.22,Y,23,61.89,71.78,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_025742735.1,46265,Mammalia,Mammalia,Callorhinus ursinus,Northern fur seal,alpha-2C adrenergic receptor,655.21,Y,23,61.89,71.23,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_017394518.1,53173,Mammalia,Mammalia,Cebus capucinus imitator,White-faced sapajou,PREDICTED: alpha-2C adrenergic receptor,653.28,Y,23,61.89,71.02,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_031797485.1,46282,Mammalia,Mammalia,Sarcophilus harrisii,Tasmanian devil,LOW QUALITY PROTEIN: alpha-2C adrenergic receptor,576.24,Y,23,61.89,62.65,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_020847946.1,47241,Mammalia,Mammalia,Phascolarctos cinereus,Koala,alpha-2C adrenergic receptor,569.31,Y,23,61.89,61.89,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_010640218.1,67687,Mammalia,Mammalia,Fukomys damarensis,Damara mole-rat,"alpha-2C adrenergic receptor, partial",405.22,Y,23,61.89,44.05,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_016051358.1,29863,Mammalia,Mammalia,Miniopterus natalensis,Common bats,"PREDICTED: alpha-2C adrenergic receptor, partial",404.44,Y,23,61.89,43.97,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_011857584.1,38457,Mammalia,Mammalia,Mandrillus leucophaeus,Drill,"PREDICTED: alpha-2C adrenergic receptor, partial",400.21,Y,23,61.89,43.51,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_011743238.1,68519,Mammalia,Mammalia,Macaca nemestrina,Pig-tailed macaque,alpha-2C adrenergic receptor,887.49,N,23,61.89,96.48,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_025241872.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,alpha-2C adrenergic receptor,887.49,N,23,61.89,96.48,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_003890908.1,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,alpha-2C adrenergic receptor,885.95,N,23,61.89,96.31,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_008016221.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: alpha-2C adrenergic receptor,885.56,N,23,61.89,96.27,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_014993395.2,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,alpha-2C adrenergic receptor,883.25,N,23,61.89,96.02,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_011914748.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: alpha-2C adrenergic receptor,857.44,N,23,61.89,93.22,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,AAN78417.1,372,Mammalia,Mammalia,Tupaia belangeri,Northern tree shrew,"alpha-2C adrenoceptor, partial",777.32,N,23,61.89,84.51,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_012510490.1,28331,Mammalia,Mammalia,Propithecus coquereli,Coquerel's sifaka,PREDICTED: alpha-2C adrenergic receptor,707.98,N,23,61.89,76.97,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_021514745.1,39112,Mammalia,Mammalia,Meriones unguiculatus,Mongolian gerbil,alpha-2C adrenergic receptor,700.66,N,23,61.89,76.17,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_021019539.1,47700,Mammalia,Mammalia,Mus caroli,Ryukyu mouse,alpha-2C adrenergic receptor,699.12,N,23,61.89,76,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_006985642.1,45652,Mammalia,Mammalia,Peromyscus maniculatus bairdii,Prairie deer mouse,PREDICTED: alpha-2C adrenergic receptor,699.12,N,23,61.89,76,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_028738120.1,42174,Mammalia,Mammalia,Peromyscus leucopus,White-footed mouse,alpha-2C adrenergic receptor,698.74,N,23,61.89,75.96,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,ELW62774.1,59499,Mammalia,Mammalia,Tupaia chinensis,Chinese tree shrew,Alpha-2C adrenergic receptor,695.66,N,23,61.89,75.63,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_026251114.1,36482,Mammalia,Mammalia,Urocitellus parryii,Arctic ground squirrel,alpha-2C adrenergic receptor,693.35,N,23,61.89,75.38,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_005365977.1,37992,Mammalia,Mammalia,Microtus ochrogaster,Prairie vole,alpha-2C adrenergic receptor,689.49,N,23,61.89,74.96,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_004624736.1,42496,Mammalia,Mammalia,Octodon degus,Degu,"alpha-2C adrenergic receptor, partial",688.72,N,23,61.89,74.87,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,OBS75192.1,24505,Mammalia,Mammalia,Neotoma lepida,Desert woodrat,hypothetical protein A6R68_14261,686.41,N,23,61.89,74.62,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_034364770.1,41654,Mammalia,Mammalia,Arvicanthis niloticus,African grass rat,alpha-2C adrenergic receptor,685.64,N,23,61.89,74.54,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,XP_032772732.1,36141,Mammalia,Mammalia,Rattus rattus,Black rat,alpha-2C adrenergic receptor,684.49,N,23,61.89,74.41,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
5,P22086.2,151095,Mammalia,Mammalia,Rattus norvegicus,Norway rat,RecName: Full=Alpha-2C adrenergic receptor; AltName: Full=Alpha-2 adrenergic receptor subtype C4; AltName: Full=Alpha-2C adrenoreceptor; Short=Alpha-2C adrenoceptor; Short=Alpha-2CAR,684.49,N,23,61.89,74.41,Y,2021 04 05 19:43:44,Y,Explore in ECOTOX
