Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P18089.4,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Alpha-2B adrenergic receptor; AltName: Full=Alpha-2 adrenergic receptor subtype C2; AltName: Full=Alpha-2B adrenoreceptor; Short=Alpha-2B adrenoceptor; Short=Alpha-2BAR,919.46,Y,81,47.17,100,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_003805772.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,alpha-2B adrenergic receptor isoform X1,908.29,Y,81,47.17,98.79,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_016804458.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,alpha-2B adrenergic receptor,903.28,Y,81,47.17,98.24,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_002811692.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,alpha-2B adrenergic receptor,898.66,Y,81,47.17,97.74,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_011811897.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: alpha-2B adrenergic receptor,884.02,Y,81,47.17,96.15,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_031511346.1,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,alpha-2B adrenergic receptor,883.63,Y,81,47.17,96.1,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_021527410.1,48088,Mammalia,Mammalia,Aotus nancymaae,Ma's night monkey,alpha-2B adrenergic receptor,883.63,Y,81,47.17,96.1,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_030776362.1,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,alpha-2B adrenergic receptor isoform X1,883.63,Y,81,47.17,96.1,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_003734722.2,47726,Mammalia,Mammalia,Callithrix jacchus,White-tufted-ear marmoset,PREDICTED: alpha-2B adrenergic receptor,805.82,Y,81,47.17,87.64,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_010350316.1,36294,Mammalia,Mammalia,Saimiri boliviensis boliviensis,Bolivian squirrel monkey,PREDICTED: alpha-2B adrenergic receptor isoform X1,805.05,Y,81,47.17,87.56,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_017379629.1,53173,Mammalia,Mammalia,Cebus capucinus imitator,White-faced sapajou,PREDICTED: alpha-2B adrenergic receptor,785.02,Y,81,47.17,85.38,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,AEP17848.1,129,Mammalia,Mammalia,Ateles fusciceps,Brown-headed spider monkey,"alpha 2B adrenergic receptor, partial",776.55,Y,81,47.17,84.46,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,CAJ19285.1,64,Mammalia,Mammalia,Ateles paniscus,Black spider monkey,"alpha 2B adrenergic receptor, partial",770,Y,81,47.17,83.75,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_031297061.1,86205,Mammalia,Mammalia,Camelus dromedarius,Arabian camel,alpha-2B adrenergic receptor,759.21,Y,81,47.17,82.57,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_014719710.1,42730,Mammalia,Mammalia,Equus asinus,Ass,PREDICTED: alpha-2B adrenergic receptor,749.2,Y,81,47.17,81.48,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_024432495.1,30697,Mammalia,Mammalia,Desmodus rotundus,Common vampire bat,alpha-2B adrenergic receptor,747.27,Y,81,47.17,81.27,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_004686182.1,29269,Mammalia,Mammalia,Condylura cristata,Star-nosed mole,PREDICTED: alpha-2B adrenergic receptor,746.89,Y,81,47.17,81.23,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_020039548.1,37572,Mammalia,Mammalia,Castor canadensis,American beaver,alpha-2B adrenergic receptor,741.11,Y,81,47.17,80.6,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_012875317.1,29399,Mammalia,Mammalia,Dipodomys ordii,Ord's kangaroo rat,PREDICTED: alpha-2B adrenergic receptor isoform X1,724.55,Y,81,47.17,78.8,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,AEP17928.1,174,Mammalia,Mammalia,Tapirus indicus,Asiatic tapir,"alpha 2B adrenergic receptor, partial",712.22,Y,81,47.17,77.46,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,AEP17923.1,15,Mammalia,Mammalia,Ptilocercus lowii,Pen-tailed tree shrew,"alpha 2B adrenergic receptor, partial",709.91,Y,81,47.17,77.21,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,AEP17853.1,242,Mammalia,Mammalia,Cebus albifrons,White-fronted capuchin,"alpha 2B adrenergic receptor, partial",705.29,Y,81,47.17,76.71,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_004590816.1,26023,Mammalia,Mammalia,Ochotona princeps,American pika,PREDICTED: alpha-2B adrenergic receptor,703.36,Y,81,47.17,76.5,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,XP_004609293.1,24062,Mammalia,Mammalia,Sorex araneus,European shrew,PREDICTED: alpha-2B adrenergic receptor,702.21,Y,81,47.17,76.37,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,AEP17893.1,243,Mammalia,Mammalia,Phataginus tricuspis,Tree pangolin,"alpha 2B adrenergic receptor, partial",697.58,Y,81,47.17,75.87,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,CAI70431.1,68,Mammalia,Mammalia,Eulemur fulvus fulvus,Brown lemur,"alpha 2B adrenergic receptor, partial",684.49,Y,81,47.17,74.44,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,CAC87003.1,109,Mammalia,Mammalia,Tapirus terrestris,Brazilian tapir,"alpha 2B adrenergic receptor, partial",682.56,Y,81,47.17,74.24,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,CAI70432.1,14,Mammalia,Mammalia,Eupleres goudotii,Falanouc,"alpha 2B adrenergic receptor, partial",681.02,Y,81,47.17,74.07,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,CAI70454.1,154,Mammalia,Mammalia,Viverricula indica,Small Indian civet,"alpha 2B adrenergic receptor, partial",680.25,Y,81,47.17,73.98,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,AEP17892.1,221,Mammalia,Mammalia,Manis pentadactyla,Chinese pangolin,"alpha 2B adrenergic receptor, partial",680.25,Y,81,47.17,73.98,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,CAC16694.1,22,Mammalia,Mammalia,Manis sp.,Pangolins,"alpha adrenergic receptor 2B, partial",674.47,Y,81,47.17,73.36,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,AEP17910.1,64,Mammalia,Mammalia,Pedetes capensis,Springhare,"alpha 2B adrenergic receptor, partial",674.47,Y,81,47.17,73.36,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,CAD44321.1,78,Mammalia,Mammalia,Phataginus tetradactyla,Long-tailed pangolin,"alpha 2B adrenergic receptor, partial",674.09,Y,81,47.17,73.31,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,AEP17882.1,33,Mammalia,Mammalia,Hystrix brachyura,Old World porcupines,"alpha 2B adrenergic receptor, partial",672.93,Y,81,47.17,73.19,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,AEP17845.1,63,Mammalia,Mammalia,Anomalurus beecrofti,Beecroft's scaly-tailed squirrel,"alpha 2B adrenergic receptor, partial",671,Y,81,47.17,72.98,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,CAI70429.1,288,Mammalia,Mammalia,Daubentonia madagascariensis,Aye-aye,"alpha 2B adrenergic receptor, partial",669.85,Y,81,47.17,72.85,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,CAD11982.1,43,Mammalia,Mammalia,Natalus stramineus,Mexican greater funnel-eared bat,"alpha 2B adrenergic receptor, partial",667.54,Y,81,47.17,72.6,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
5,CAD20292.1,4,Mammalia,Mammalia,Lepus crawshayi,Hares,"alpha 2B adrenergic receptor, partial",661.37,Y,81,47.17,71.93,Y,2021 04 05 19:57:09,Y,Explore in ECOTOX
