Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,Q9NY47.2,1802968,Mammalia,Mammalia,Homo sapiens,Human,"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/Q9NY47.2"",""RecName: Full=Voltage-dependent calcium channel subunit alpha-2/delta-2; AltName: Full=Voltage-gated calcium channel subunit alpha-2/delta-2; Contains: RecName: Full=Voltage-dependent calcium channel subunit alpha-2-2; Contains: RecName: Full=Voltage-dependent calcium channel subunit delta-2; Flags: Precursor"")",2396.31,Y,111,25.32,100,Y,2021 06 15 14:49:38,Y,Explore in ECOTOX
5,XP_024100568.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,voltage-dependent calcium channel subunit alpha-2/delta-2 isoform X1,2386.3,Y,111,25.32,99.58,Y,2021 06 15 14:49:38,Y,Explore in ECOTOX
5,XP_016796643.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,voltage-dependent calcium channel subunit alpha-2/delta-2 isoform X4,2382.06,Y,111,25.32,99.41,Y,2021 06 15 14:49:38,Y,Explore in ECOTOX
5,XP_032017348.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,voltage-dependent calcium channel subunit alpha-2/delta-2 isoform X2,2378.98,Y,111,25.32,99.28,Y,2021 06 15 14:49:38,Y,Explore in ECOTOX
5,XP_030667562.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,voltage-dependent calcium channel subunit alpha-2/delta-2 isoform X2,2378.21,Y,111,25.32,99.24,Y,2021 06 15 14:49:38,Y,Explore in ECOTOX
5,XP_025230814.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,voltage-dependent calcium channel subunit alpha-2/delta-2 isoform X1,2373.2,Y,111,25.32,99.04,Y,2021 06 15 14:49:38,Y,Explore in ECOTOX
5,XP_011737764.1,68519,Mammalia,Mammalia,Macaca nemestrina,Pig-tailed macaque,voltage-dependent calcium channel subunit alpha-2/delta-2 isoform X1,2373.2,Y,111,25.32,99.04,Y,2021 06 15 14:49:38,Y,Explore in ECOTOX
5,XP_014986324.2,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,voltage-dependent calcium channel subunit alpha-2/delta-2 isoform X7,2369.73,Y,111,25.32,98.89,Y,2021 06 15 14:49:38,Y,Explore in ECOTOX
5,XP_030792121.1,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,voltage-dependent calcium channel subunit alpha-2/delta-2 isoform X1,2369.35,Y,111,25.32,98.87,Y,2021 06 15 14:49:38,Y,Explore in ECOTOX
5,XP_007982546.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: voltage-dependent calcium channel subunit alpha-2/delta-2 isoform X1,2366.65,Y,111,25.32,98.76,Y,2021 06 15 14:49:38,Y,Explore in ECOTOX
