Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
6,P29275.1,2603582,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Adenosine receptor A2b,678.71,Y,646,27.92,100,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_004042272.2,52137,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,adenosine receptor A2b,677.94,Y,646,27.92,99.89,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_511779.3,171683,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,adenosine receptor A2b,677.94,Y,646,27.92,99.89,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_003804929.4,71982,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,adenosine receptor A2b,677.17,Y,646,27.92,99.77,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_030655614.1,51657,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,adenosine receptor A2b,673.7,Y,646,27.92,99.26,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_032002977.1,54538,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,adenosine receptor A2b,673.7,Y,646,27.92,99.26,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_002827109.1,141069,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,adenosine receptor A2b,667.54,Y,646,27.92,98.35,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_017352316.1,55886,Mammalia,Mammalia,Cebus imitator,Panamanian white-faced capuchin,adenosine receptor A2b,667.54,Y,646,27.92,98.35,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_003929317.1,45635,Mammalia,Mammalia,Saimiri boliviensis boliviensis,Bolivian squirrel monkey,adenosine receptor A2b,664.46,Y,646,27.92,97.9,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_032136097.1,62477,Mammalia,Mammalia,Sapajus apella,Tufted capuchin,adenosine receptor A2b,664.07,Y,646,27.92,97.84,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_017827191.2,87648,Mammalia,Mammalia,Callithrix jacchus,White-tufted-ear marmoset,adenosine receptor A2b,658.68,Y,646,27.92,97.05,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_011830637.1,38457,Mammalia,Mammalia,Mandrillus leucophaeus,Drill,PREDICTED: adenosine receptor A2b,658.29,Y,646,27.92,96.99,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_003912440.1,73528,Mammalia,Mammalia,Papio anubis,Olive baboon,adenosine receptor A2b,656.37,Y,646,27.92,96.71,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_033037676.1,64510,Mammalia,Mammalia,Trachypithecus francoisi,Francois's langur,adenosine receptor A2b,656.37,Y,646,27.92,96.71,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_011885366.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: adenosine receptor A2b,656.37,Y,646,27.92,96.71,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_025218179.1,52581,Mammalia,Mammalia,Theropithecus gelada,Gelada,adenosine receptor A2b,655.98,Y,646,27.92,96.65,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_017717713.1,49685,Mammalia,Mammalia,Rhinopithecus bieti,Black snub-nosed monkey,PREDICTED: adenosine receptor A2b,655.21,Y,646,27.92,96.54,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_010386057.2,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,adenosine receptor A2b,655.21,Y,646,27.92,96.54,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_008008683.2,62297,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,adenosine receptor A2b,654.83,Y,646,27.92,96.48,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
6,XP_011755544.1,68712,Mammalia,Mammalia,Macaca nemestrina,Pig-tailed macaque,adenosine receptor A2b,654.83,Y,646,27.92,96.48,Y,2021 09 14 16:00:53,Y,Explore in ECOTOX
