"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/Q8NET8.2"",""Q8NET8.2"")","1802968","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9606"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Homo sapiens"")","Human","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/Q8NET8.2"",""RecName: Full=Transient receptor potential cation channel subfamily V member 3; Short=TrpV3; AltName: Full=Vanilloid receptor-like 3; Short=VRL-3"")","1642.09","Y","38","60.47","100.00","Y","2021 02 18 08:16:52","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9606"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_008008047.1"",""XP_008008047.1"")","62219","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=60711&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""60711"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=60711&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Chlorocebus sabaeus"")","Green monkey","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_008008047.1"",""PREDICTED: transient receptor potential cation channel subfamily V member 3 isoform X2"")","1597.79","Y","38","60.47","97.30","Y","2021 02 18 08:16:52","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=60711"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_028390320.1"",""XP_028390320.1"")","33129","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=89673&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""89673"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=89673&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Phyllostomus discolor"")","Pale spear-nosed bat","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_028390320.1"",""transient receptor potential cation channel subfamily V member 3 isoform X2"")","1499.57","Y","38","60.47","91.32","Y","2021 02 18 08:16:52","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=89673"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032947799.1"",""XP_032947799.1"")","48727","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=59479&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""59479"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=59479&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Rhinolophus ferrumequinum"")","Greater horseshoe bat","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032947799.1"",""transient receptor potential cation channel subfamily V member 3"")","1490.71","Y","38","60.47","90.78","Y","2021 02 18 08:16:52","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=59479"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_006922256.1"",""XP_006922256.1"")","59370","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9402&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9402"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9402&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Pteropus alecto"")","Black flying fox","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_006922256.1"",""transient receptor potential cation channel subfamily V member 3 isoform X2"")","1484.93","Y","38","60.47","90.43","Y","2021 02 18 08:16:52","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9402"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032254979.1"",""XP_032254979.1"")","45571","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9720&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9720"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9720&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Phoca vitulina"")","Harbor seal","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032254979.1"",""transient receptor potential cation channel subfamily V member 3 isoform X1"")","1477.61","Y","38","60.47","89.98","Y","2021 02 18 08:16:52","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9720"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_019285096.1"",""XP_019285096.1"")","58569","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9691&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9691"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9691&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Panthera pardus"")","Leopard","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_019285096.1"",""PREDICTED: transient receptor potential cation channel subfamily V member 3"")","1472.22","Y","38","60.47","89.66","Y","2021 02 18 08:16:52","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9691"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_004412180.1"",""XP_004412180.1"")","31381","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9708&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9708"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9708&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Odobenus rosmarus divergens"")","Pacific walrus","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_004412180.1"",""PREDICTED: transient receptor potential cation channel subfamily V member 3"")","1469.91","Y","38","60.47","89.51","Y","2021 02 18 08:16:52","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9708"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032353870.1"",""XP_032353870.1"")","74403","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=419612&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""419612"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=419612&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Camelus ferus"")","Wild Bactrian camel","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032353870.1"",""LOW QUALITY PROTEIN: transient receptor potential cation channel subfamily V member 3"")","1469.52","Y","38","60.47","89.49","Y","2021 02 18 08:16:52","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=419612"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_031325397.1"",""XP_031325397.1"")","86205","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9838&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9838"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9838&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Camelus dromedarius"")","Arabian camel","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_031325397.1"",""transient receptor potential cation channel subfamily V member 3"")","1467.60","Y","38","60.47","89.37","Y","2021 02 18 08:16:52","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9838"",""Explore in ECOTOX"")"
