Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P27487.2,1802968,Mammalia,Mammalia,Homo sapiens,Human,"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P27487.2"",""RecName: Full=Dipeptidyl peptidase 4; AltName: Full=ADABP; AltName: Full=Adenosine deaminase complexing protein 2; Short=ADCP-2; AltName: Full=Dipeptidyl peptidase IV; Short=DPP IV; AltName: Full=T-cell activation antigen CD26; AltName: Full=TP103; AltName: CD_antigen=CD26; Contains: RecName: Full=Dipeptidyl peptidase 4 membrane form; AltName: Full=Dipeptidyl peptidase IV membrane form; Contains: RecName: Full=Dipeptidyl peptidase 4 soluble form; AltName: Full=Dipeptidyl peptidase IV soluble form"")",1602.8,Y,74,21.77,100,Y,2021 04 07 12:46:04,Y,Explore in ECOTOX
5,XP_515858.2,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,dipeptidyl peptidase 4 isoform X1,1594.71,Y,74,21.77,99.5,Y,2021 04 07 12:46:04,Y,Explore in ECOTOX
5,XP_003820987.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,dipeptidyl peptidase 4 isoform X1,1592.79,Y,74,21.77,99.38,Y,2021 04 07 12:46:04,Y,Explore in ECOTOX
5,XP_009236014.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,dipeptidyl peptidase 4 isoform X1,1590.86,Y,74,21.77,99.26,Y,2021 04 07 12:46:04,Y,Explore in ECOTOX
5,XP_003266219.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,dipeptidyl peptidase 4,1587.01,Y,74,21.77,99.01,Y,2021 04 07 12:46:04,Y,Explore in ECOTOX
5,XP_032611456.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,dipeptidyl peptidase 4,1586.24,Y,74,21.77,98.97,Y,2021 04 07 12:46:04,Y,Explore in ECOTOX
5,XP_011802485.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: dipeptidyl peptidase 4,1576.22,Y,74,21.77,98.34,Y,2021 04 07 12:46:04,Y,Explore in ECOTOX
5,XP_017711294.1,49687,Mammalia,Mammalia,Rhinopithecus bieti,Black snub-nosed monkey,PREDICTED: dipeptidyl peptidase 4 isoform X1,1571.99,Y,74,21.77,98.08,Y,2021 04 07 12:46:04,Y,Explore in ECOTOX
5,XP_007963342.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: dipeptidyl peptidase 4 isoform X1,1571.6,Y,74,21.77,98.05,Y,2021 04 07 12:46:04,Y,Explore in ECOTOX
5,NP_001034279.2,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,dipeptidyl peptidase 4,1571.21,Y,74,21.77,98.03,Y,2021 04 07 12:46:04,Y,Explore in ECOTOX
