"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","Domain Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P11229.2"",""P11229.2"")","1802968","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9606"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Homo sapiens"")","Human","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P11229.2"",""RecName: Full=Muscarinic acetylcholine receptor M1"")"," 7tmA_mAChR_M1","830.86","Y","159","40.24","100.00","Y","2021 06 16 11:10:42","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9606"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_001159983.1"",""XP_001159983.1"")","171847","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9598&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9598"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9598&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Pan troglodytes"")","Chimpanzee","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_001159983.1"",""muscarinic acetylcholine receptor M1"")"," 7tmA_mAChR_M1","830.86","Y","159","40.24","100.00","Y","2021 06 16 11:10:42","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9598"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_003274160.1"",""XP_003274160.1"")","51631","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=61853&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""61853"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=61853&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Nomascus leucogenys"")","Northern white-cheeked gibbon","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_003274160.1"",""muscarinic acetylcholine receptor M1"")"," 7tmA_mAChR_M1","830.86","Y","159","40.24","100.00","Y","2021 06 16 11:10:42","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=61853"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_003828561.1"",""XP_003828561.1"")","51215","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9597&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9597"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9597&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Pan paniscus"")","Pygmy chimpanzee","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_003828561.1"",""muscarinic acetylcholine receptor M1"")"," 7tmA_mAChR_M1","830.86","Y","159","40.24","100.00","Y","2021 06 16 11:10:42","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9597"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_010374835.1"",""XP_010374835.1"")","53902","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=61622&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""61622"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=61622&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Rhinopithecus roxellana"")","Golden snub-nosed monkey","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_010374835.1"",""muscarinic acetylcholine receptor M1"")"," 7tmA_mAChR_M1","830.86","Y","159","40.24","100.00","Y","2021 06 16 11:10:42","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=61622"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_011798041.1"",""XP_011798041.1"")","38676","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=336983&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""336983"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=336983&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Colobus angolensis palliatus"")","Angolan colobus","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_011798041.1"",""PREDICTED: muscarinic acetylcholine receptor M1"")"," 7tmA_mAChR_M1","830.86","Y","159","40.24","100.00","Y","2021 06 16 11:10:42","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=336983"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_017738127.1"",""XP_017738127.1"")","49687","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=61621&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""61621"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=61621&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Rhinopithecus bieti"")","Black snub-nosed monkey","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_017738127.1"",""PREDICTED: muscarinic acetylcholine receptor M1"")"," 7tmA_mAChR_M1","830.86","Y","159","40.24","100.00","Y","2021 06 16 11:10:42","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=61621"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032009037.1"",""XP_032009037.1"")","54502","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=81572&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""81572"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=81572&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Hylobates moloch"")","Silvery gibbon","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_032009037.1"",""muscarinic acetylcholine receptor M1"")"," 7tmA_mAChR_M1","830.86","Y","159","40.24","100.00","Y","2021 06 16 11:10:42","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=81572"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/PNJ37956.1"",""PNJ37956.1"")","141140","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9601&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9601"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9601&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Pongo abelii"")","Sumatran orangutan","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/PNJ37956.1"",""CHRM1 isoform 1"")"," 7tmA_mAChR_M1","830.86","Y","159","40.24","100.00","Y","2021 06 16 11:10:42","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9601"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_003909717.1"",""XP_003909717.1"")","73457","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9555&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9555"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9555&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Papio anubis"")","Olive baboon","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_003909717.1"",""muscarinic acetylcholine receptor M1"")"," 7tmA_mAChR_M1","829.71","Y","159","40.24","99.86","Y","2021 06 16 11:10:42","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9555"",""Explore in ECOTOX"")"
