Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P22303.1,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Acetylcholinesterase; Short=AChE; Flags: Precursor,1251.5,Y,26,39.61,100,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_003318708.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,acetylcholinesterase isoform X8,1251.5,Y,26,39.61,100,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_030869201.1,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,acetylcholinesterase isoform X5,1251.5,Y,26,39.61,100,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_003934210.1,36294,Mammalia,Mammalia,Saimiri boliviensis boliviensis,Bolivian squirrel monkey,PREDICTED: acetylcholinesterase isoform X2,1179.85,Y,26,39.61,94.27,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_032728421.1,48403,Mammalia,Mammalia,Lontra canadensis,Northern American river otter,acetylcholinesterase isoform X2,1154.81,Y,26,39.61,92.27,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_032183122.1,60642,Mammalia,Mammalia,Mustela erminea,Ermine,acetylcholinesterase isoform X2,1153.27,Y,26,39.61,92.15,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_004761630.1,48578,Mammalia,Mammalia,Mustela putorius furo,Domestic ferret,PREDICTED: acetylcholinesterase isoform X1,1153.27,Y,26,39.61,92.15,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_034525827.1,73097,Mammalia,Mammalia,Ailuropoda melanoleuca,Giant panda,acetylcholinesterase isoform X2,1146.72,Y,26,39.61,91.63,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,KFO36880.1,67687,Mammalia,Mammalia,Fukomys damarensis,Damara mole-rat,Acetylcholinesterase,1145.57,Y,26,39.61,91.54,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_008591474.1,32194,Mammalia,Mammalia,Galeopterus variegatus,Sunda flying lemur,PREDICTED: acetylcholinesterase isoform X2,1142.1,Y,26,39.61,91.26,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_032447534.1,42103,Mammalia,Mammalia,Lynx canadensis,Canada lynx,acetylcholinesterase isoform X2,1127.08,Y,26,39.61,90.06,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,VFV18696.1,31243,Mammalia,Mammalia,Lynx pardinus,Spanish lynx,acetylcholinesterase precursor,1127.08,Y,26,39.61,90.06,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_008696665.1,29099,Mammalia,Mammalia,Ursus maritimus,Polar bear,PREDICTED: LOW QUALITY PROTEIN: acetylcholinesterase,1125.15,Y,26,39.61,89.9,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_004630538.1,42496,Mammalia,Mammalia,Octodon degus,Degu,acetylcholinesterase isoform X1,1120.53,Y,26,39.61,89.53,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,ELK29552.1,48716,Mammalia,Mammalia,Myotis davidii,Common bats,Acetylcholinesterase,1102.81,Y,26,39.61,88.12,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_006859715.1,25292,Mammalia,Mammalia,Chrysochloris asiatica,Cape golden mole,PREDICTED: acetylcholinesterase isoform X1,1100.12,Y,26,39.61,87.9,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_012587383.1,29269,Mammalia,Mammalia,Condylura cristata,Star-nosed mole,PREDICTED: acetylcholinesterase,1088.17,Y,26,39.61,86.95,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_006971309.1,45652,Mammalia,Mammalia,Peromyscus maniculatus bairdii,Prairie deer mouse,PREDICTED: acetylcholinesterase isoform X1,1084.71,Y,26,39.61,86.67,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_021483369.1,39112,Mammalia,Mammalia,Meriones unguiculatus,Mongolian gerbil,acetylcholinesterase,997.27,Y,26,39.61,79.69,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,1C2B_A,37845,Actinopteri,Actinopteri,Electrophorus electricus,Electric eel,"Chain A, Acetylcholinesterase",994.96,Y,26,39.61,79.5,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
5,XP_021563355.1,33251,Mammalia,Mammalia,Carlito syrichta,Philippine tarsier,acetylcholinesterase,901.35,Y,26,39.61,72.02,Y,2021 06 10 15:16:58,Y,Explore in ECOTOX
