"Data Version","NCBI Accession","Protein Count","Species Tax ID","Taxonomic Group","Filtered Taxonomic Group","Scientific Name","Common Name","Protein Name","Domain Name","BLASTp Bitscore","Ortholog Candidate","Ortholog Count","Cut-off","Percent Similarity","Susceptibility Prediction","Analysis Completed","Eukaryote","ECOTOX"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P18847.2"",""P18847.2"")","1802968","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9606"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Homo sapiens"")","Human","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/P18847.2"",""RecName: Full=Cyclic AMP-dependent transcription factor ATF-3; Short=cAMP-dependent transcription factor ATF-3; AltName: Full=Activating transcription factor 3"")"," bZIP_ATF3","102.83","Y","442","48.68","100.00","Y","2021 06 23 17:03:46","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9606"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_004028416.1"",""XP_004028416.1"")","52117","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9595&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9595"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9595&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Gorilla gorilla gorilla"")","Western lowland gorilla","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_004028416.1"",""cyclic AMP-dependent transcription factor ATF-3"")"," bZIP_ATF3","102.83","Y","442","48.68","100.00","Y","2021 06 23 17:03:46","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9595"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_012315037.1"",""XP_012315037.1"")","48088","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=37293&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""37293"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=37293&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Aotus nancymaae"")","Ma's night monkey","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_012315037.1"",""cyclic AMP-dependent transcription factor ATF-3 isoform X1"")"," bZIP_ATF3","102.83","Y","442","48.68","100.00","Y","2021 06 23 17:03:46","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=37293"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_016793872.1"",""XP_016793872.1"")","171847","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9598&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9598"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9598&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Pan troglodytes"")","Chimpanzee","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_016793872.1"",""cyclic AMP-dependent transcription factor ATF-3 isoform X1"")"," bZIP_ATF3","102.83","Y","442","48.68","100.00","Y","2021 06 23 17:03:46","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9598"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_031992635.1"",""XP_031992635.1"")","54502","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=81572&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""81572"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=81572&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Hylobates moloch"")","Silvery gibbon","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_031992635.1"",""cyclic AMP-dependent transcription factor ATF-3 isoform X1"")"," bZIP_ATF3","102.83","Y","442","48.68","100.00","Y","2021 06 23 17:03:46","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=81572"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_003814225.1"",""XP_003814225.1"")","51215","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9597&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9597"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9597&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Pan paniscus"")","Pygmy chimpanzee","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_003814225.1"",""cyclic AMP-dependent transcription factor ATF-3 isoform X1"")"," bZIP_ATF3","102.83","Y","442","48.68","100.00","Y","2021 06 23 17:03:46","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9597"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/NP_001252939.1"",""NP_001252939.1"")","175489","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9544&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9544"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9544&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Macaca mulatta"")","Rhesus monkey","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/NP_001252939.1"",""cyclic AMP-dependent transcription factor ATF-3"")"," bZIP_ATF3","102.83","Y","442","48.68","100.00","Y","2021 06 23 17:03:46","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9544"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_003918837.1"",""XP_003918837.1"")","73457","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9555&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9555"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9555&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Papio anubis"")","Olive baboon","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_003918837.1"",""cyclic AMP-dependent transcription factor ATF-3"")"," bZIP_ATF3","102.83","Y","442","48.68","100.00","Y","2021 06 23 17:03:46","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9555"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_005540840.1"",""XP_005540840.1"")","97446","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9541&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9541"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9541&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Macaca fascicularis"")","Crab-eating macaque","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_005540840.1"",""PREDICTED: cyclic AMP-dependent transcription factor ATF-3"")"," bZIP_ATF3","102.83","Y","442","48.68","100.00","Y","2021 06 23 17:03:46","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9541"",""Explore in ECOTOX"")"
"5","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_009236166.1"",""XP_009236166.1"")","141140","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9601&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""9601"")","Mammalia","Mammalia","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9601&lvl=3&lin=f&keep=1&srchmode=1&unlock"",""Pongo abelii"")","Sumatran orangutan","=HYPERLINK(""http://www.ncbi.nlm.nih.gov/protein/XP_009236166.1"",""cyclic AMP-dependent transcription factor ATF-3 isoform X1"")"," bZIP_ATF3","102.83","Y","442","48.68","100.00","Y","2021 06 23 17:03:46","Y","=HYPERLINK(""https://cfpub.epa.gov/ecotox/explore.cfm?ncbi=9601"",""Explore in ECOTOX"")"
