Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,AAA51729.1,1802968,Mammalia,Mammalia,Homo sapiens,Human,androgen receptor,1888.23,Y,31,30.56,100,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,XP_025715214.1,46265,Mammalia,Mammalia,Callorhinus ursinus,Northern fur seal,androgen receptor-like,806.59,Y,31,30.56,42.72,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,XP_025789612.1,23618,Mammalia,Mammalia,Puma concolor,Puma,androgen receptor,805.44,Y,31,30.56,42.66,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,XP_020762611.1,48218,Mammalia,Mammalia,Odocoileus virginianus texanus,White-tailed deer,androgen receptor,804.67,Y,31,30.56,42.61,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,KAB0388964.1,20274,Mammalia,Mammalia,Balaenoptera physalus,Fin whale,hypothetical protein E2I00_000638,803.9,Y,31,30.56,42.57,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,XP_006774533.1,48716,Mammalia,Mammalia,Myotis davidii,Common bats,PREDICTED: androgen receptor,803.51,Y,31,30.56,42.55,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,KAF3813096.1,19789,Mammalia,Mammalia,Mirounga leonina,Southern elephant seal,hypothetical protein GH733_000028,802.74,Y,31,30.56,42.51,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,KFQ03285.1,28860,Aves,Aves,Leptosomus discolor,Cuckoo roller,"Androgen receptor, partial",787.33,Y,31,30.56,41.7,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,KFQ43923.1,27852,Aves,Aves,Nestor notabilis,Kea,"Androgen receptor, partial",758.44,Y,31,30.56,40.17,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,KFR12888.1,27865,Aves,Aves,Opisthocomus hoazin,Hoatzin,"Androgen receptor, partial",757.29,Y,31,30.56,40.11,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,XP_009994935.1,29270,Aves,Aves,Chaetura pelagica,Chimney swift,PREDICTED: androgen receptor,756.13,Y,31,30.56,40.04,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,KAF2985417.1,15084,Aves,Aves,Melospiza melodia maxima,Song sparrow,"hypothetical protein EK904_002061, partial",754.98,Y,31,30.56,39.98,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,KFQ07327.1,30417,Aves,Aves,Haliaeetus albicilla,White-tailed eagle,"Androgen receptor, partial",754.59,Y,31,30.56,39.96,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,XP_019143345.1,29602,Aves,Aves,Corvus cornix cornix,Hooded crow,androgen receptor,753.82,Y,31,30.56,39.92,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,XP_025951796.1,31573,Aves,Aves,Dromaius novaehollandiae,Emu,androgen receptor isoform X1,750.74,Y,31,30.56,39.76,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,XP_007435613.1,32857,Lepidosauria,Lepidosauria,Python bivittatus,Burmese python,androgen receptor,750.36,Y,31,30.56,39.74,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,KFO15478.1,28015,Aves,Aves,Balearica regulorum gibbericeps,East African grey crowned-crane,"Androgen receptor, partial",749.58,Y,31,30.56,39.7,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,XP_021482974.1,39112,Mammalia,Mammalia,Meriones unguiculatus,Mongolian gerbil,"androgen receptor, partial",688.34,Y,31,30.56,36.45,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,XP_026704635.1,27794,Aves,Aves,Athene cunicularia,Burrowing owl,androgen receptor,632.48,Y,31,30.56,33.5,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,KAA0717190.1,24328,Actinopteri,Actinopteri,Triplophysa tibetana,Plateau loaches,Androgen receptor,616.3,Y,31,30.56,32.64,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,XP_023823693.1,60777,Actinopteri,Actinopteri,Salvelinus alpinus,Arctic char,androgen receptor,614.76,Y,31,30.56,32.56,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,KAF4113183.1,24824,Actinopteri,Actinopteri,Onychostoma macrolepis,Carps and others,hypothetical protein G5714_005728,608.99,Y,31,30.56,32.25,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,ACA96518.1,63,Actinopteri,Actinopteri,Spinibarbus denticulatus,Carps and others,androgen receptor protein,608.6,Y,31,30.56,32.23,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,AFU35774.1,57,Actinopteri,Actinopteri,Carassius auratus ssp. 'Pengze',Pengze crucian carp,androgen receptor,607.06,Y,31,30.56,32.15,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
5,XP_029925114.1,38160,Actinopteri,Actinopteri,Myripristis murdjan,Pinecone soldierfish,androgen receptor-like,607.06,Y,31,30.56,32.15,Y,2021 04 23 13:27:43,Y,Explore in ECOTOX
