Data Version,NCBI Accession,Protein Count,Taxonomic Group,Filtered Taxonomic Group,Scientific Name,Common Name,Protein Name,BLASTp Bitscore,Ortholog Candidate,Ortholog Count,Cut-off,Percent Similarity,Susceptibility Prediction,Analysis Completed,Eukaryote,ECOTOX
5,P08172.1,1802968,Mammalia,Mammalia,Homo sapiens,Human,RecName: Full=Muscarinic acetylcholine receptor M2,962.99,Y,378,53.76,100,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_008964237.1,51215,Mammalia,Mammalia,Pan paniscus,Pygmy chimpanzee,muscarinic acetylcholine receptor M2,962.99,Y,378,53.76,100,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_001147308.1,171847,Mammalia,Mammalia,Pan troglodytes,Chimpanzee,muscarinic acetylcholine receptor M2,962.99,Y,378,53.76,100,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_032617751.1,54502,Mammalia,Mammalia,Hylobates moloch,Silvery gibbon,muscarinic acetylcholine receptor M2,962.99,Y,378,53.76,100,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_004046328.2,52117,Mammalia,Mammalia,Gorilla gorilla gorilla,Western lowland gorilla,muscarinic acetylcholine receptor M2,962.99,Y,378,53.76,100,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_003261430.1,51631,Mammalia,Mammalia,Nomascus leucogenys,Northern white-cheeked gibbon,muscarinic acetylcholine receptor M2,961.44,Y,378,53.76,99.84,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_002818538.1,141140,Mammalia,Mammalia,Pongo abelii,Sumatran orangutan,muscarinic acetylcholine receptor M2,960.67,Y,378,53.76,99.76,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_014990468.1,175489,Mammalia,Mammalia,Macaca mulatta,Rhesus monkey,muscarinic acetylcholine receptor M2,957.98,Y,378,53.76,99.48,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_010370051.1,53902,Mammalia,Mammalia,Rhinopithecus roxellana,Golden snub-nosed monkey,muscarinic acetylcholine receptor M2,957.98,Y,378,53.76,99.48,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_005550926.1,97446,Mammalia,Mammalia,Macaca fascicularis,Crab-eating macaque,PREDICTED: muscarinic acetylcholine receptor M2,957.98,Y,378,53.76,99.48,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_023045829.1,55377,Mammalia,Mammalia,Piliocolobus tephrosceles,Ugandan red Colobus,muscarinic acetylcholine receptor M2,957.98,Y,378,53.76,99.48,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_011796652.1,38676,Mammalia,Mammalia,Colobus angolensis palliatus,Angolan colobus,PREDICTED: muscarinic acetylcholine receptor M2,957.98,Y,378,53.76,99.48,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_007981229.1,62219,Mammalia,Mammalia,Chlorocebus sabaeus,Green monkey,PREDICTED: muscarinic acetylcholine receptor M2,957.98,Y,378,53.76,99.48,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_033049026.1,63302,Mammalia,Mammalia,Trachypithecus francoisi,Francois's langur,muscarinic acetylcholine receptor M2,957.98,Y,378,53.76,99.48,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_003896697.1,73457,Mammalia,Mammalia,Papio anubis,Olive baboon,muscarinic acetylcholine receptor M2,955.67,Y,378,53.76,99.24,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_011850878.1,38457,Mammalia,Mammalia,Mandrillus leucophaeus,Drill,PREDICTED: muscarinic acetylcholine receptor M2,955.67,Y,378,53.76,99.24,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_017732000.1,49687,Mammalia,Mammalia,Rhinopithecus bieti,Black snub-nosed monkey,PREDICTED: muscarinic acetylcholine receptor M2,955.28,Y,378,53.76,99.2,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
5,XP_011923624.1,66421,Mammalia,Mammalia,Cercocebus atys,Sooty mangabey,PREDICTED: muscarinic acetylcholine receptor M2,954.12,Y,378,53.76,99.08,Y,2021 06 15 14:45:33,Y,Explore in ECOTOX
